NNO,CNSO-U,CGC-U,MDM-U,MRC-U,PAU-U,BST-U,CHG-U,ANTACL-U,BCE-U,BLD-U,CRL-U,LLG-U,MLF-U,MLY-U,SRS-U,STY-U,VLY-U,CFD-U,LMV-U,LYO-U,VCS-U,BSN-U,CHN-U,DOU-U,LLE-U,MTY-U,NCY-U,SDR-U,STG-U,AVD-U,BRY-U,EVX-U,FVS-U,RNS-U,TRS-U,DRN-U,ITS-U,MSE-U,NMS-U,SZA-U,TLE-U,TLN-U,,,OPEX,DAPSA,PFL,CNSO-C,CGC-C,MDM-C,MRC-C,PAU-C,BST-C,CHG-C,ANTACL-C,BCE-C,BLD-C,CRL-C,LLG-C,MLF-C,MLY-C,SRS-C,STY-C,VLY-C,CFD-C,LMV-C,LYO-C,VCS-C,BSN-C,CHN-C,DOU-C,LLE-C,MTY-C,NCY-C,SDR-C,STG-C,AVD-C,BRY-C,EVX-C,FVS-C,RNS-C,TRS-C,DRN-C,ITS-C,MSE-C,NMS-C,SZA-C,TLE-C,TLN-C
4130-14-5591597,,,,,,,,,,,,2,,,,,,,,,,1,,4,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5591598,,,,,,,,,,,,2,,,,,,,,,,1,,4,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5591599,,,,,,,,,,,,2,,,,,,,,,,1,,4,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5591601,,,,,,,,,,,,2,,,,,,,,,,1,,4,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5593963,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5593965,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5740929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5795275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5795283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5795380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5795467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5795671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5799220,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-14-5906116,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130-99-1522043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4140-01-6814364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4140-01-6817344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
