magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
NCY,5805-14-5395176,241.0,0.0,-241.0
CGC,5895-01-6312265,277.0,37.0,-240.0
VLY,5820-14-5066363,236.0,0.0,-236.0
TLN,5805-14-5407613,234.0,0.0,-234.0
CGC,5805-14-5395176,232.0,0.0,-232.0
TLN,5805-14-5135582,228.0,0.0,-228.0
TLE,7025-01-6471720,228.0,0.0,-228.0
BCE,5998-14-5649218,232.0,5.0,-227.0
MTY,5820-14-5699765,226.0,0.0,-226.0
TLN,7010-14-6035962,226.0,0.0,-226.0
PAU,5805-14-5395176,223.0,0.0,-223.0
LLE,5805-14-5395175,219.0,0.0,-219.0
CGC,5805-14-5407613,218.0,0.0,-218.0
MSE,5998-14-5649218,217.0,0.0,-217.0
TLN,7010-14-5982738,217.0,0.0,-217.0
TRS,5998-14-4535515,215.0,0.0,-215.0
LYO,6030-01-5849988,215.0,0.0,-215.0
TRS,5998-14-5709364,214.0,0.0,-214.0
CGC,7025-15-0162514,212.0,0.0,-212.0
RNS,7025-01-6295560,210.0,0.0,-210.0
ANTACL,5998-14-5709364,215.0,6.0,-209.0
RNS,5965-14-5596464,204.0,0.0,-204.0
TLN,5805-14-5395176,203.0,0.0,-203.0
LLG,5820-14-5704107,203.0,0.0,-203.0
TLE,6030-01-5849988,203.0,0.0,-203.0
TLN,DIRI-14-0004647,201.0,0.0,-201.0
SDR,5820-14-5699765,200.0,0.0,-200.0
SRS,9080-DI-0582022,200.0,0.0,-200.0
MRC,5805-14-6083025,200.0,0.0,-200.0
BCE,5998-14-5709364,198.0,0.0,-198.0
LLE,5805-14-5395176,197.0,0.0,-197.0
CGC,7025-01-6471720,200.0,3.0,-197.0
BST,5895-01-6548907,199.0,3.0,-196.0
EVX,5998-14-5649218,196.0,0.0,-196.0
LLE,5805-14-5427833,192.0,0.0,-192.0
RNS,5805-14-6083025,192.0,0.0,-192.0
TRS,6130-14-4535527,192.0,0.0,-192.0
CHG,7025-01-6471720,205.0,13.0,-192.0
TLN,5810-14-5860296,191.0,0.0,-191.0
MDM,5998-14-5649218,193.0,3.0,-190.0
TLE,5805-14-5407613,190.0,0.0,-190.0
TLN,7021-14-6062929,189.0,0.0,-189.0
MRC,7050-14-5822576,189.0,0.0,-189.0
NMS,5998-14-5649218,186.0,0.0,-186.0
LLE,5895-01-4758630,186.0,0.0,-186.0
TRS,5805-14-5407612,184.0,0.0,-184.0
TLN,5805-14-5694774,183.0,0.0,-183.0
CNSO,9020-DI-1012014,182.0,2.0,-180.0
CHN,5965-14-5596464,179.0,0.0,-179.0
BSN,5998-14-4535515,179.0,0.0,-179.0
CGC,5895-01-5555276,184.0,6.0,-178.0
TLE,7025-01-5388114,178.0,0.0,-178.0
TLE,5805-14-5395175,178.0,0.0,-178.0
CRL,5998-14-5649218,177.0,0.0,-177.0
MLF,5805-14-5694774,177.0,0.0,-177.0
TLE,7025-01-6295560,177.0,0.0,-177.0
SDR,5998-14-5649218,175.0,0.0,-175.0
TLN,7010-01-6797841,175.0,0.0,-175.0
PAU,5998-14-5649218,179.0,4.0,-175.0
MRC,5998-14-4535515,183.0,9.0,-174.0
LYO,5805-14-5407612,174.0,0.0,-174.0
MTY,5805-14-5395176,173.0,0.0,-173.0
TLN,5805-14-5649505,172.0,0.0,-172.0
BSN,5820-14-5699765,172.0,0.0,-172.0
MLY,5998-14-5649218,172.0,0.0,-172.0
RNS,5820-14-5699765,171.0,0.0,-171.0
TRS,7025-01-6471720,170.0,0.0,-170.0
MRC,5805-14-5899554,169.0,0.0,-169.0
SZA,5820-14-5699765,169.0,0.0,-169.0
LLE,5998-14-5649218,168.0,0.0,-168.0
VLY,5810-14-4882091,168.0,0.0,-168.0
CHG,5895-14-5892200,217.0,49.0,-168.0
CHN,5805-14-5395176,166.0,0.0,-166.0
MTY,5965-14-5596464,166.0,0.0,-166.0
TRS,5805-14-5395176,166.0,0.0,-166.0
BSN,6130-14-4535527,165.0,0.0,-165.0
LMV,5998-14-4535515,164.0,0.0,-164.0
MTY,6030-01-5849988,164.0,0.0,-164.0
VLY,7025-17-1260324,164.0,0.0,-164.0
TLN,9030-DI-1032016,163.0,0.0,-163.0
LMV,5895-01-6548907,163.0,0.0,-163.0
CHN,5805-14-5395175,162.0,0.0,-162.0
ANTACL,7025-01-6471719,162.0,0.0,-162.0
STY,7025-01-6471719,162.0,0.0,-162.0
LLE,5965-14-5596464,162.0,0.0,-162.0
MLF,5965-14-5596464,162.0,0.0,-162.0
LLG,5805-14-5407613,161.0,0.0,-161.0
LLG,6130-14-5875950,160.0,0.0,-160.0
BST,5820-99-5013078,245.0,87.0,-158.0
ITS,5998-14-4535515,158.0,0.0,-158.0
ITS,5998-14-5115514,157.0,0.0,-157.0
RNS,5895-01-6073450,157.0,0.0,-157.0
CFD,6030-01-5849988,156.0,0.0,-156.0
CGC,5805-14-5899554,156.0,0.0,-156.0
LLG,5998-14-4535521,156.0,0.0,-156.0
TRS,5998-14-4636517,155.0,0.0,-155.0
CGC,5998-14-5709364,155.0,0.0,-155.0
CGC,5805-14-5427833,155.0,0.0,-155.0
TLN,5820-99-5013078,154.0,0.0,-154.0
TRS,5998-14-4536854,153.0,0.0,-153.0
TLN,6130-01-5965636,152.0,0.0,-152.0
TLN,5820-14-5789383,151.0,0.0,-151.0
ANTACL,5998-14-5649218,156.0,5.0,-151.0
TLN,7025-01-6782869,151.0,0.0,-151.0
BST,7010-14-6062927,153.0,3.0,-150.0
BSN,5805-14-5395175,150.0,0.0,-150.0
NCY,5965-14-5596464,149.0,0.0,-149.0
CGC,5820-14-5875891,149.0,0.0,-149.0
RNS,5805-14-5395175,149.0,0.0,-149.0
TLN,5820-99-8564345,148.0,0.0,-148.0
TRS,7050-01-6861556,147.0,0.0,-147.0
LLE,5895-01-5059537,147.0,0.0,-147.0
CHN,7025-01-6295560,147.0,0.0,-147.0
LMV,6130-14-4535527,147.0,0.0,-147.0
LLE,5820-14-5699765,146.0,0.0,-146.0
MLF,9010-DI-1132016,146.0,0.0,-146.0
TLE,6130-14-4535527,145.0,0.0,-145.0
RNS,7025-01-6471720,145.0,0.0,-145.0
NMS,5820-14-5699765,145.0,0.0,-145.0
TLN,7010-14-5956909,144.0,0.0,-144.0
MRC,6130-14-4535527,144.0,0.0,-144.0
VLY,5810-14-5169076,144.0,0.0,-144.0
LLE,5805-14-5407612,144.0,0.0,-144.0
MSE,5805-14-5395175,144.0,0.0,-144.0
BLD,5805-01-6721744,143.0,0.0,-143.0
DRN,6030-01-5849988,143.0,0.0,-143.0
DRN,7025-01-6471720,143.0,0.0,-143.0
MLF,9010-DI-1092016,143.0,0.0,-143.0
LLE,5963-01-5295714,142.0,0.0,-142.0
TLN,7021-01-6973011,142.0,0.0,-142.0
TLE,5820-14-5699765,142.0,0.0,-142.0
SRS,5805-14-5395175,142.0,0.0,-142.0
RNS,5805-14-5649505,141.0,0.0,-141.0
TLN,6130-14-4535527,140.0,0.0,-140.0
LMV,5998-14-5649218,140.0,0.0,-140.0
ANTACL,5805-14-5694774,139.0,0.0,-139.0
MLF,7025-14-5859527,139.0,0.0,-139.0
RNS,6130-14-4535527,139.0,0.0,-139.0
NMS,5895-01-6312265,138.0,0.0,-138.0
TLN,5895-14-5818581,138.0,0.0,-138.0
BST,5998-14-5149581,138.0,0.0,-138.0
TLN,7025-14-6009060,137.0,0.0,-137.0
PAU,7025-01-5455184,172.0,35.0,-137.0
LMV,7025-01-6145572,137.0,0.0,-137.0
MSE,5805-14-5649505,137.0,0.0,-137.0
STG,5805-14-5407612,137.0,0.0,-137.0
VLY,5805-01-6312047,137.0,0.0,-137.0
TLN,5805-14-4936630,136.0,0.0,-136.0
STY,5805-14-5395176,136.0,0.0,-136.0
TLE,5998-14-5709364,135.0,0.0,-135.0
TRS,5998-01-5292775,134.0,0.0,-134.0
MTY,5805-14-5407612,133.0,0.0,-133.0
TLN,5820-99-9596146,133.0,0.0,-133.0
STG,6030-01-5849988,133.0,0.0,-133.0
CRL,5998-14-5709364,133.0,0.0,-133.0
MRC,5805-14-5395176,132.0,1.0,-131.0
ANTACL,5805-14-5395176,130.0,0.0,-130.0
CHN,5895-14-5739867,130.0,0.0,-130.0
MLY,5805-14-5407613,129.0,0.0,-129.0
STG,5805-14-5649505,129.0,0.0,-129.0
BSN,7025-01-6295560,129.0,0.0,-129.0
LYO,5805-14-5395176,129.0,0.0,-129.0
VLY,5998-14-4883518,127.0,0.0,-127.0
TLN,6030-01-5849988,127.0,0.0,-127.0
CGC,7025-01-6667665,127.0,0.0,-127.0
NCY,6130-14-4535527,127.0,0.0,-127.0
CGC,6030-01-5849988,130.0,3.0,-127.0
BSN,5998-14-4636517,127.0,0.0,-127.0
STG,5998-14-5709364,126.0,0.0,-126.0
MDM,5998-14-5115514,128.0,2.0,-126.0
VLY,5998-14-4396499,125.0,0.0,-125.0
LYO,7025-01-6963056,125.0,0.0,-125.0
CFD,5998-14-5649218,125.0,0.0,-125.0
LMV,5998-14-5149581,125.0,0.0,-125.0
LLG,5998-14-4535518,125.0,0.0,-125.0
CHN,5895-01-6412003,124.0,0.0,-124.0
BSN,5998-14-4536854,124.0,0.0,-124.0
CHG,5805-14-5395176,123.0,0.0,-123.0
TLN,5998-14-5649230,123.0,0.0,-123.0
CHN,5820-14-5704107,123.0,0.0,-123.0
TLN,5820-14-5875891,123.0,0.0,-123.0
TLE,5965-14-5596464,123.0,0.0,-123.0
BRY,5820-14-5699765,123.0,0.0,-123.0
BLD,7050-14-5822576,123.0,0.0,-123.0
MLF,5820-14-5699765,122.0,0.0,-122.0
TLN,5805-14-5649508,122.0,0.0,-122.0
CGC,5805-14-5649505,121.0,0.0,-121.0
BRY,5805-14-5649505,121.0,0.0,-121.0
BST,7025-14-5884199,122.0,1.0,-121.0
NCY,7025-01-6471720,120.0,0.0,-120.0
TLE,5805-14-5899554,120.0,0.0,-120.0
TLN,7025-01-5898541,120.0,0.0,-120.0
RNS,5915-14-5440344,120.0,0.0,-120.0
CRL,5998-14-5115514,120.0,0.0,-120.0
MRC,7025-01-6471720,123.0,3.0,-120.0
LMV,5998-14-4636517,120.0,0.0,-120.0
SZA,5965-14-5596464,120.0,0.0,-120.0
LMV,5998-14-4536854,120.0,0.0,-120.0
TLN,7025-14-5953534,119.0,0.0,-119.0
BST,5805-14-5882929,119.0,0.0,-119.0
ITS,5998-14-5812746,119.0,0.0,-119.0
TLE,7025-01-5455184,118.0,0.0,-118.0
BSN,5998-14-5709364,118.0,0.0,-118.0
CHN,5820-14-5699765,117.0,0.0,-117.0
BST,5915-14-4852179,117.0,0.0,-117.0
LMV,7025-14-5884199,117.0,0.0,-117.0
SRS,7035-01-6776955,116.0,0.0,-116.0
ITS,5998-14-4536854,116.0,0.0,-116.0
RNS,5805-14-5407612,116.0,0.0,-116.0
TLE,5998-14-4636517,115.0,0.0,-115.0
VCS,5805-14-5899554,115.0,0.0,-115.0
CGC,5820-14-5704107,114.0,0.0,-114.0
NCY,5998-14-4636517,114.0,0.0,-114.0
LYO,9010-DI-0012022,114.0,0.0,-114.0
TRS,5998-14-5115514,114.0,0.0,-114.0
RNS,7025-01-5898541,114.0,0.0,-114.0
BST,5998-14-5709364,115.0,1.0,-114.0
NMS,5965-14-5596464,113.0,0.0,-113.0
SRS,5895-01-6920523,113.0,0.0,-113.0
SRS,5895-14-5818581,113.0,0.0,-113.0
STG,5895-01-6412003,112.0,0.0,-112.0
DOU,6130-14-4535527,111.0,0.0,-111.0
CHG,5820-99-9251541,112.0,1.0,-111.0
CHG,5820-99-7095188,111.0,0.0,-111.0
CRL,7025-01-5898541,110.0,0.0,-110.0
MDM,5998-14-5149581,114.0,4.0,-110.0
PAU,5805-14-5407613,111.0,1.0,-110.0
LYO,5805-14-5395175,109.0,0.0,-109.0
TLN,5805-14-5745935,109.0,0.0,-109.0
LLG,5998-14-4535526,108.0,0.0,-108.0
SRS,7035-12-4012369,108.0,0.0,-108.0
BRY,5805-14-5407613,108.0,0.0,-108.0
PAU,7025-15-0162514,112.0,4.0,-108.0
RNS,7025-14-5947967,107.0,0.0,-107.0
LLG,5998-14-4636519,107.0,0.0,-107.0
LLG,5998-14-4536845,107.0,0.0,-107.0
BST,7025-01-7006887,124.0,17.0,-107.0
LLG,5998-14-4535523,107.0,0.0,-107.0
STG,5945-14-5554719,107.0,0.0,-107.0
MSE,5805-14-5407613,106.0,0.0,-106.0
TLN,5998-14-4535515,106.0,0.0,-106.0
MTY,7025-01-6295560,106.0,0.0,-106.0
BSN,5965-14-5596464,105.0,0.0,-105.0
LLG,5975-14-4569084,105.0,0.0,-105.0
RNS,5998-14-4636517,104.0,0.0,-104.0
LMV,5895-15-0118962,104.0,0.0,-104.0
BST,5820-99-8564345,128.0,24.0,-104.0
RNS,7050-14-5822576,104.0,0.0,-104.0
TLN,7050-20-0042340,103.0,0.0,-103.0
ANTACL,5805-14-5649505,103.0,0.0,-103.0
TRS,5998-14-5149581,103.0,0.0,-103.0
CHN,6030-01-5849988,103.0,0.0,-103.0
DRN,7025-01-6471719,103.0,0.0,-103.0
LMV,5998-14-5115514,103.0,0.0,-103.0
LYO,5998-14-5709364,102.0,0.0,-102.0
CHG,5805-14-5395175,104.0,2.0,-102.0
SZA,5998-14-5649218,102.0,0.0,-102.0
LMV,5805-14-4813168,102.0,0.0,-102.0
ITS,5998-14-5216512,102.0,0.0,-102.0
CFD,5805-14-5395176,102.0,0.0,-102.0
BST,5895-01-6548830,113.0,11.0,-102.0
TLN,7025-01-6295560,102.0,0.0,-102.0
TLN,7010-14-5971471,102.0,0.0,-102.0
VLY,5820-14-5699765,101.0,0.0,-101.0
TRS,5895-01-6073450,101.0,0.0,-101.0
NMS,5805-14-5395176,101.0,0.0,-101.0
BST,7025-14-5953534,102.0,1.0,-101.0
VLY,5965-14-5596464,101.0,0.0,-101.0
LLE,5915-14-5440344,100.0,0.0,-100.0
BSN,5805-14-5407612,100.0,0.0,-100.0
TLN,9010-DI-1012015,100.0,0.0,-100.0
CHG,5805-14-5797655,100.0,0.0,-100.0
MRC,5998-14-4536854,102.0,2.0,-100.0
RNS,5895-01-6412003,100.0,0.0,-100.0
STY,5998-14-5709364,100.0,0.0,-100.0
MTY,5895-01-6412003,99.0,0.0,-99.0
AVD,5805-14-5395176,99.0,0.0,-99.0
LLG,4130-14-4536849,98.0,0.0,-98.0
BRY,5820-14-5721201,98.0,0.0,-98.0
LYO,7025-15-0168476,98.0,0.0,-98.0
TLN,7025-01-7004218,98.0,0.0,-98.0
STY,5810-14-6035259,98.0,0.0,-98.0
BST,5805-14-5883097,97.0,0.0,-97.0
LLG,5998-14-4636518,97.0,0.0,-97.0
DRN,5998-14-5709364,97.0,0.0,-97.0
STY,5805-14-5407612,97.0,0.0,-97.0
NMS,5805-14-5899554,96.0,0.0,-96.0
MRC,5998-14-4636517,99.0,3.0,-96.0
BST,5895-14-5951970,291.0,195.0,-96.0
RNS,7025-14-5937402,96.0,0.0,-96.0
CHN,5805-14-5649505,95.0,0.0,-95.0
