magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CHG,DIRI-14-0000147,3.0,9.0,6.0
CNSO,5110-14-5672350,1.0,8.0,7.0
CNSO,5120-12-4068022,23.0,57.0,34.0
CNSO,5805-01-5636332,1.0,15.0,14.0
CNSO,5805-01-6146636,2.0,5.0,3.0
CNSO,5805-01-6414432,7.0,15.0,8.0
CNSO,5805-01-6433469,4.0,12.0,8.0
CNSO,5805-01-6442680,32.0,128.0,96.0
CNSO,5805-01-6721744,11.0,57.0,46.0
CNSO,5805-14-4220850,2.0,18.0,16.0
CNSO,5805-14-5395175,2.0,84.0,82.0
CNSO,5805-14-5395176,6.0,216.0,210.0
CNSO,5805-14-5395177,2.0,64.0,62.0
CNSO,5805-14-5407612,4.0,104.0,100.0
CNSO,5805-14-5407613,22.0,505.0,483.0
CNSO,5805-14-5427833,1.0,9.0,8.0
CNSO,5805-14-5649505,1.0,95.0,94.0
CNSO,5805-14-5883097,7.0,44.0,37.0
CNSO,5805-14-5925645,2.0,5.0,3.0
CNSO,5810-14-5839386,4.0,331.0,327.0
CNSO,5810-14-5860295,50.0,348.0,298.0
CNSO,5810-14-5860296,64.0,128.0,64.0
CNSO,5810-14-5860297,1.0,40.0,39.0
CNSO,5810-14-5860301,8.0,82.0,74.0
CNSO,5810-14-5872765,3.0,12.0,9.0
CNSO,5810-14-5879458,1.0,6.0,5.0
CNSO,5810-14-5879461,2.0,9.0,7.0
CNSO,5810-14-5949212,23.0,177.0,154.0
CNSO,5820-01-5587811,1.0,6.0,5.0
CNSO,5820-01-6073345,1.0,4.0,3.0
CNSO,5820-01-6504028,1.0,15.0,14.0
CNSO,5820-01-6785684,4.0,19.0,15.0
CNSO,5820-14-4673111,1.0,5.0,4.0
CNSO,5820-14-5353198,4.0,160.0,156.0
CNSO,5820-14-5568480,5.0,128.0,123.0
CNSO,5820-14-5649877,1.0,24.0,23.0
CNSO,5820-14-5649881,1.0,9.0,8.0
CNSO,5820-14-5697607,3.0,78.0,75.0
CNSO,5820-14-5699765,64.0,98.0,34.0
CNSO,5820-14-5816498,2.0,3.0,1.0
CNSO,5820-14-5892220,1.0,3.0,2.0
CNSO,5820-17-1247012,4.0,5.0,1.0
CNSO,5820-22-6244938,2.0,6.0,4.0
CNSO,5820-98-2043141,1.0,8.0,7.0
CNSO,5836-37-5349926,3.0,13.0,10.0
CNSO,5895-01-4758630,11.0,88.0,77.0
CNSO,5895-01-5413058,1.0,148.0,147.0
CNSO,5895-01-5555276,18.0,215.0,197.0
CNSO,5895-01-6038918,2.0,71.0,69.0
CNSO,5895-01-6548907,41.0,68.0,27.0
CNSO,5895-01-6589391,51.0,683.0,632.0
CNSO,5895-14-2620980,2.0,5.0,3.0
CNSO,5895-14-4784400,1.0,17.0,16.0
CNSO,5895-14-4839707,2.0,313.0,311.0
CNSO,5895-14-5147140,2.0,35.0,33.0
CNSO,5895-14-5223317,4.0,243.0,239.0
CNSO,5895-14-5223346,1.0,39.0,38.0
CNSO,5895-14-5470829,9.0,39.0,30.0
CNSO,5895-14-5501846,1.0,105.0,104.0
CNSO,5895-14-5591085,18.0,72.0,54.0
CNSO,5895-14-5595817,3.0,7.0,4.0
CNSO,5895-14-5597509,2.0,6.0,4.0
CNSO,5895-14-5603031,2.0,103.0,101.0
CNSO,5895-14-5637548,4.0,22.0,18.0
CNSO,5895-14-5818581,1.0,21.0,20.0
CNSO,5895-14-5877858,5.0,100.0,95.0
CNSO,5895-14-5900888,2.0,10.0,8.0
CNSO,5895-14-5951970,14.0,29.0,15.0
CNSO,5895-14-5993795,1.0,23.0,22.0
CNSO,5915-14-4852179,6.0,69.0,63.0
CNSO,5915-14-4852181,10.0,59.0,49.0
CNSO,5930-01-6107547,9.0,145.0,136.0
CNSO,5961-01-6107733,1.0,128.0,127.0
CNSO,5965-14-4177295,4.0,55.0,51.0
CNSO,5965-14-5596464,63.0,479.0,416.0
CNSO,5975-01-6312801,1.0,26.0,25.0
CNSO,5975-01-6429653,56.0,305.0,249.0
CNSO,5975-12-4027570,1.0,3.0,2.0
CNSO,5975-14-4491636,3.0,10.0,7.0
CNSO,5975-14-4491638,2.0,18.0,16.0
CNSO,5975-14-4761674,3.0,5.0,2.0
CNSO,5975-14-5325427,3.0,6.0,3.0
CNSO,5975-14-5882187,1.0,2.0,1.0
CNSO,5975-14-6014460,1.0,62.0,61.0
CNSO,5985-22-2823422,1.0,2.0,1.0
CNSO,5998-01-5292775,15.0,212.0,197.0
CNSO,5998-01-5587804,4.0,85.0,81.0
CNSO,5998-01-5905251,1.0,339.0,338.0
CNSO,5998-01-6108944,61.0,461.0,400.0
CNSO,5998-01-6108956,2.0,29.0,27.0
CNSO,5998-01-6553094,1.0,2.0,1.0
CNSO,5998-14-4252190,8.0,200.0,192.0
CNSO,5998-14-4252193,4.0,83.0,79.0
CNSO,5998-14-4392518,1.0,52.0,51.0
CNSO,5998-14-4392519,1.0,9.0,8.0
CNSO,5998-14-4491641,8.0,51.0,43.0
CNSO,5998-14-4491642,8.0,100.0,92.0
CNSO,5998-14-4491643,2.0,78.0,76.0
CNSO,5998-14-4491644,4.0,91.0,87.0
CNSO,5998-14-4491645,4.0,64.0,60.0
CNSO,5998-14-4491646,6.0,106.0,100.0
CNSO,5998-14-4491651,4.0,72.0,68.0
CNSO,5998-14-4491655,4.0,61.0,57.0
CNSO,5998-14-4491656,4.0,38.0,34.0
CNSO,5998-14-4491657,2.0,46.0,44.0
CNSO,5998-14-4491658,3.0,64.0,61.0
CNSO,5998-14-4634094,1.0,255.0,254.0
CNSO,5998-14-4682244,2.0,32.0,30.0
CNSO,5998-14-4746028,1.0,356.0,355.0
CNSO,5998-14-4761675,5.0,19.0,14.0
CNSO,5998-14-4761676,4.0,13.0,9.0
CNSO,5998-14-4761677,1.0,23.0,22.0
CNSO,5998-14-4761678,2.0,20.0,18.0
CNSO,5998-14-4852163,9.0,56.0,47.0
CNSO,5998-14-4852164,1.0,6.0,5.0
CNSO,5998-14-4852168,1.0,29.0,28.0
CNSO,5998-14-4852169,7.0,48.0,41.0
CNSO,5998-14-4852170,2.0,31.0,29.0
CNSO,5998-14-4852172,2.0,41.0,39.0
CNSO,5998-14-4852174,2.0,11.0,9.0
CNSO,5998-14-4852175,5.0,27.0,22.0
CNSO,5998-14-4852176,4.0,20.0,16.0
CNSO,5998-14-4852178,4.0,28.0,24.0
CNSO,5998-14-4852180,3.0,42.0,39.0
CNSO,5998-14-4855681,5.0,24.0,19.0
CNSO,5998-14-5115509,1.0,282.0,281.0
CNSO,5998-14-5115514,2.0,277.0,275.0
CNSO,5998-14-5147122,2.0,11.0,9.0
CNSO,5998-14-5149581,1.0,203.0,202.0
CNSO,5998-14-5164413,2.0,106.0,104.0
CNSO,5998-14-5216512,1.0,419.0,418.0
CNSO,5998-14-5223319,2.0,124.0,122.0
CNSO,5998-14-5223322,2.0,63.0,61.0
CNSO,5998-14-5223334,3.0,20.0,17.0
CNSO,5998-14-5314940,4.0,48.0,44.0
CNSO,5998-14-5540116,2.0,33.0,31.0
CNSO,5998-14-5594755,8.0,469.0,461.0
CNSO,5998-14-5595820,1.0,13.0,12.0
CNSO,5998-14-5648947,8.0,17.0,9.0
CNSO,5998-14-5648968,4.0,28.0,24.0
CNSO,5998-14-5648977,3.0,16.0,13.0
