magasin,nb_nomenclatures,stock_total,stock_moyen,stock_max,stock_min,nb_lignes
CNSO,2049,59553.0,29.06,1352.0,1.0,2049
BST,349,3139.0,8.99,195.0,1.0,349
CHG,275,1383.0,5.03,100.0,1.0,275
MRC,223,653.0,2.93,37.0,1.0,223
MDM,148,563.0,3.8,44.0,1.0,148
PAU,84,391.0,4.65,53.0,1.0,84
ANTACL,59,341.0,5.78,66.0,1.0,59
BCE,40,275.0,6.88,80.0,1.0,40
CGC,87,253.0,2.91,37.0,1.0,87
BLD,48,238.0,4.96,23.0,1.0,48
