nomenclature,deficit_total,deficit_moyen,nb_magasins,total_exploitation,total_stock
5998-14-5984178,19.0,1.9,10,9.0,28.0
6130-14-5664213,-19.0,-19.0,1,19.0,0.0
5985-14-4659246,19.0,6.33,3,21.0,40.0
5895-01-5205859,-19.0,-4.75,4,19.0,0.0
DIRI-14-0001562,-19.0,-19.0,1,19.0,0.0
7010-14-5220091,-19.0,-19.0,1,19.0,0.0
7025-01-6471718,-19.0,-3.8,5,22.0,3.0
5975-14-5648726,-19.0,-1.9,10,26.0,7.0
5815-14-5633438,-19.0,-1.9,10,21.0,2.0
5820-14-5960623,-19.0,-3.8,5,35.0,16.0
7025-14-5572250,-19.0,-6.33,3,19.0,0.0
7021-14-5513841,-19.0,-19.0,1,19.0,0.0
5820-01-5587809,19.0,6.33,3,3.0,22.0
7025-14-5505312,-19.0,-2.11,9,19.0,0.0
5895-01-7218005,-19.0,-0.83,23,23.0,4.0
5998-14-5525167,-19.0,-2.11,9,19.0,0.0
7025-01-6229697,19.0,6.33,3,33.0,52.0
5985-22-6120369,-19.0,-19.0,1,19.0,0.0
5895-14-5536338,-19.0,-3.17,6,39.0,20.0
5895-14-5854259,-19.0,-4.75,4,19.0,0.0
5895-14-5710809,-19.0,-2.71,7,21.0,2.0
5996-14-4823376,-19.0,-2.71,7,28.0,9.0
5998-14-4252211,19.0,4.75,4,14.0,33.0
5998-14-4252158,19.0,6.33,3,2.0,21.0
7025-14-5971480,-19.0,-9.5,2,25.0,6.0
7025-14-5947607,-18.0,-1.8,10,18.0,0.0
7025-14-5861346,-18.0,-4.5,4,18.0,0.0
6625-01-4753433,-18.0,-1.5,12,20.0,2.0
7025-01-5393273,-18.0,-4.5,4,18.0,0.0
5815-14-5786786,-18.0,-2.57,7,18.0,0.0
6130-01-4521955,-18.0,-2.57,7,31.0,13.0
5895-14-5287995,18.0,2.57,7,7.0,25.0
7025-37-5286708,-18.0,-4.5,4,18.0,0.0
7025-14-5947423,-18.0,-1.5,12,19.0,1.0
5998-14-5479548,-18.0,-2.57,7,25.0,7.0
5895-14-6055132,-18.0,-6.0,3,18.0,0.0
7025-37-5279291,-18.0,-4.5,4,18.0,0.0
7025-01-6409856,-18.0,-6.0,3,18.0,0.0
5998-14-5250661,-18.0,-2.0,9,47.0,29.0
5895-14-6075442,-18.0,-6.0,3,27.0,9.0
7025-14-5960517,-18.0,-6.0,3,19.0,1.0
7025-14-5937068,-18.0,-9.0,2,18.0,0.0
6130-01-6065293,-18.0,-18.0,1,18.0,0.0
7025-01-6852408,-18.0,-4.5,4,19.0,1.0
7025-01-6906089,-18.0,-9.0,2,23.0,5.0
5998-14-5513023,-18.0,-2.25,8,18.0,0.0
7010-14-5812427,-18.0,-2.25,8,18.0,0.0
7025-14-5740797,-18.0,-4.5,4,19.0,1.0
5895-14-5884245,-18.0,-4.5,4,22.0,4.0
5895-15-0118963,18.0,9.0,2,1.0,19.0
7025-14-5947992,-18.0,-3.0,6,23.0,5.0
5985-12-3793951,-18.0,-18.0,1,18.0,0.0
5805-14-5875837,-18.0,-18.0,1,18.0,0.0
7025-01-6428781,-18.0,-2.57,7,24.0,6.0
6130-14-5147163,18.0,1.29,14,193.0,211.0
DIRI-14-0005107,-18.0,-18.0,1,18.0,0.0
7025-01-6571296,18.0,2.0,9,19.0,37.0
6150-14-5950563,-18.0,-4.5,4,18.0,0.0
5895-14-5927592,18.0,18.0,1,1.0,19.0
DIRI-14-0006461,-18.0,-18.0,1,18.0,0.0
6030-14-5772644,-18.0,-3.6,5,24.0,6.0
5985-98-2069584,-18.0,-18.0,1,18.0,0.0
7010-14-5740052,-18.0,-2.0,9,22.0,4.0
DIRI-14-0005623,-18.0,-3.0,6,18.0,0.0
7025-14-5961128,-18.0,-18.0,1,18.0,0.0
DIRI-14-0005196,-18.0,-18.0,1,18.0,0.0
5998-25-1497849,-18.0,-2.0,9,41.0,23.0
7025-01-6707527,-18.0,-4.5,4,34.0,16.0
DIRI-14-0004419,-18.0,-1.29,14,22.0,4.0
7010-01-6849587,-18.0,-4.5,4,18.0,0.0
5895-14-5767723,-18.0,-3.0,6,18.0,0.0
4240-14-5446803,-18.0,-4.5,4,18.0,0.0
7025-01-5746520,-18.0,-1.2,15,23.0,5.0
5930-15-0180733,-18.0,-2.25,8,25.0,7.0
7010-14-5737207,-17.0,-1.42,12,22.0,5.0
5805-71-0399731,-17.0,-5.67,3,22.0,5.0
7025-01-6162825,-17.0,-5.67,3,17.0,0.0
5820-01-5587404,-17.0,-3.4,5,18.0,1.0
5998-01-5801657,-17.0,-2.83,6,17.0,0.0
5895-14-5536176,17.0,4.25,4,3.0,20.0
5975-14-4823981,-17.0,-1.89,9,17.0,0.0
5999-14-5429087,-17.0,-1.55,11,33.0,16.0
9020-DI-1012013,-17.0,-4.25,4,17.0,0.0
6110-14-6037127,-17.0,-2.12,8,17.0,0.0
6130-01-6089620,-17.0,-8.5,2,17.0,0.0
5998-01-5463859,-17.0,-17.0,1,17.0,0.0
5895-14-5402714,17.0,8.5,2,1.0,18.0
5820-99-7006973,-17.0,-8.5,2,17.0,0.0
7025-14-5651814,17.0,4.25,4,8.0,25.0
7035-01-6600795,-17.0,-5.67,3,17.0,0.0
5805-14-5507276,-17.0,-3.4,5,17.0,0.0
7025-01-6238252,-17.0,-17.0,1,17.0,0.0
6625-01-5533137,-17.0,-1.31,13,18.0,1.0
5998-14-5660328,-17.0,-17.0,1,17.0,0.0
6625-14-5262893,-17.0,-4.25,4,20.0,3.0
5998-14-5479549,-17.0,-2.83,6,24.0,7.0
7025-14-6066924,17.0,17.0,1,7.0,24.0
5998-14-5466747,-17.0,-3.4,5,17.0,0.0
5895-14-5802402,-17.0,-8.5,2,17.0,0.0
6130-14-4532514,-17.0,-5.67,3,22.0,5.0
8115-14-4683468,-17.0,-17.0,1,17.0,0.0
5895-14-5888087,-17.0,-3.4,5,19.0,2.0
5895-14-5211649,-17.0,-5.67,3,17.0,0.0
5895-14-5741616,-17.0,-5.67,3,18.0,1.0
7035-01-5636950,-17.0,-1.89,9,19.0,2.0
DIRI-14-0006222,-17.0,-17.0,1,17.0,0.0
7025-14-6052125,-17.0,-2.83,6,27.0,10.0
5895-14-5984410,-17.0,-4.25,4,17.0,0.0
DIRI-14-0006253,-17.0,-3.4,5,17.0,0.0
5998-14-4252217,17.0,3.4,5,10.0,27.0
7010-14-6115093,-17.0,-5.67,3,18.0,1.0
7050-01-5216877,-17.0,-1.7,10,21.0,4.0
5998-14-4491642,-17.0,-1.55,11,118.0,101.0
6625-25-1476189,-17.0,-1.21,14,17.0,0.0
5895-33-21148722,-17.0,-8.5,2,17.0,0.0
7025-30-7003122,-17.0,-17.0,1,17.0,0.0
5996-14-5972262,-17.0,-2.83,6,17.0,0.0
DIRI-14-0002186,-17.0,-2.83,6,17.0,0.0
DIRI-14-0002869,-17.0,-3.4,5,17.0,0.0
5998-14-5416042,-17.0,-4.25,4,19.0,2.0
5998-01-5884532,-17.0,-17.0,1,17.0,0.0
5998-01-4450013,16.0,8.0,2,2.0,18.0
7025-01-7211831,-16.0,-8.0,2,16.0,0.0
5975-14-4823983,-16.0,-3.2,5,17.0,1.0
6130-14-5850314,-16.0,-8.0,2,16.0,0.0
6130-14-5959002,-16.0,-2.0,8,16.0,0.0
7010-14-6050889,-16.0,-8.0,2,16.0,0.0
7025-01-5410959,-16.0,-8.0,2,16.0,0.0
7025-01-6433003,-16.0,-8.0,2,16.0,0.0
7025-01-6551298,-16.0,-16.0,1,16.0,0.0
6030-14-5691582,-16.0,-16.0,1,16.0,0.0
6030-14-5952046,-16.0,-4.0,4,16.0,0.0
5445-14-5362348,-16.0,-16.0,1,16.0,0.0
7025-17-1278675,-16.0,-5.33,3,40.0,24.0
6130-99-8549800,-16.0,-5.33,3,16.0,0.0
6150-14-5514824,-16.0,-1.6,10,17.0,1.0
7025-14-5902191,-16.0,-4.0,4,16.0,0.0
7025-01-6882301,-16.0,-2.29,7,17.0,1.0
DIRI-14-0002567,-16.0,-5.33,3,16.0,0.0
7025-01-6477522,-16.0,-3.2,5,24.0,8.0
7035-14-5857297,-16.0,-8.0,2,16.0,0.0
6130-14-4252266,16.0,2.29,7,17.0,33.0
6685-01-2426490,-16.0,-1.6,10,16.0,0.0
DIRI-14-0001709,-16.0,-16.0,1,16.0,0.0
5365-14-4723209,-16.0,-16.0,1,16.0,0.0
5365-14-4723208,-16.0,-16.0,1,16.0,0.0
5365-14-4723207,-16.0,-16.0,1,16.0,0.0
6120-01-6517668,-16.0,-16.0,1,16.0,0.0
6117-01-6844918,-16.0,-8.0,2,16.0,0.0
7035-14-5837542,-16.0,-3.2,5,16.0,0.0
5975-14-5652031,-16.0,-2.0,8,16.0,0.0
6130-01-6475354,-16.0,-5.33,3,16.0,0.0
5975-14-5652033,-16.0,-5.33,3,16.0,0.0
7021-01-7206770,-16.0,-5.33,3,16.0,0.0
5930-01-6473900,-16.0,-2.67,6,18.0,2.0
6130-14-5061111,-16.0,-4.0,4,17.0,1.0
7025-01-5487612,-16.0,-4.0,4,16.0,0.0
7025-37-5317196,-16.0,-5.33,3,16.0,0.0
DIRI-14-0002781,-16.0,-1.6,10,18.0,2.0
7025-01-7013793,-16.0,-16.0,1,16.0,0.0
5998-14-4252229,16.0,4.0,4,5.0,21.0
5815-14-5786788,-16.0,-2.0,8,16.0,0.0
7010-14-5651729,16.0,1.33,12,19.0,35.0
5998-01-6261969,-16.0,-5.33,3,16.0,0.0
5895-01-6548904,-16.0,-8.0,2,16.0,0.0
5985-99-6826727,-16.0,-8.0,2,16.0,0.0
5985-14-4755777,-16.0,-2.67,6,16.0,0.0
6625-14-5248297,-16.0,-8.0,2,16.0,0.0
7010-01-6438824,-16.0,-8.0,2,16.0,0.0
5998-14-5736763,-16.0,-8.0,2,16.0,0.0
9070-DI-0112023,-16.0,-8.0,2,16.0,0.0
5820-22-6239457,-16.0,-5.33,3,16.0,0.0
5820-25-1469631,-16.0,-5.33,3,27.0,11.0
5820-32-0852935,-16.0,-8.0,2,18.0,2.0
7025-14-5936857,-16.0,-16.0,1,16.0,0.0
5998-14-5223319,16.0,1.23,13,108.0,124.0
5895-01-5354405,-16.0,-2.0,8,30.0,14.0
5998-14-5513024,-16.0,-2.0,8,16.0,0.0
7025-14-6093960,-16.0,-16.0,1,16.0,0.0
7035-01-7216365,-16.0,-16.0,1,16.0,0.0
5998-14-5502260,-16.0,-16.0,1,16.0,0.0
5865-12-3921928,-16.0,-16.0,1,16.0,0.0
5895-01-5157060,-16.0,-2.67,6,18.0,2.0
7025-14-5833428,-16.0,-2.0,8,16.0,0.0
5998-14-4109582,-16.0,-16.0,1,16.0,0.0
9070-DI-0382020,-16.0,-5.33,3,16.0,0.0
5998-01-5943272,-16.0,-16.0,1,16.0,0.0
5820-12-3948067,-16.0,-16.0,1,16.0,0.0
7025-14-5453121,-16.0,-1.23,13,22.0,6.0
7025-14-6008524,-16.0,-3.2,5,36.0,20.0
6020-01-5668531,-16.0,-16.0,1,16.0,0.0
5998-14-4634093,16.0,8.0,2,1.0,17.0
5820-12-4168258,-16.0,-4.0,4,16.0,0.0
5998-14-6084973,-16.0,-16.0,1,16.0,0.0
5998-14-4719011,16.0,5.33,3,7.0,23.0
7021-14-6051633,-16.0,-5.33,3,16.0,0.0
9080-DI-0012021,-16.0,-2.67,6,16.0,0.0
5895-01-7246638,-16.0,-3.2,5,16.0,0.0
7010-01-6805160,-16.0,-16.0,1,16.0,0.0
7021-12-3715922,-15.0,-7.5,2,15.0,0.0
7025-14-6009851,-15.0,-5.0,3,15.0,0.0
7025-01-5122452,15.0,3.0,5,7.0,22.0
5985-14-5325387,-15.0,-2.14,7,15.0,0.0
7025-14-5885916,-15.0,-15.0,1,15.0,0.0
6130-25-1623620,-15.0,-3.0,5,15.0,0.0
5998-01-6775851,-15.0,-3.0,5,15.0,0.0
7035-01-5874311,15.0,5.0,3,2.0,17.0
7025-14-5965777,-15.0,-7.5,2,15.0,0.0
7025-14-5849742,-15.0,-2.5,6,15.0,0.0
5895-14-4197943,15.0,1.36,11,12.0,27.0
6130-01-7161233,15.0,3.75,4,3.0,18.0
5998-14-5121488,-15.0,-15.0,1,15.0,0.0
7025-01-6550777,-15.0,-5.0,3,17.0,2.0
6130-14-4899989,-15.0,-1.88,8,15.0,0.0
7025-01-6266253,-15.0,-3.0,5,15.0,0.0
5998-14-4252175,15.0,3.0,5,8.0,23.0
5985-99-2872298,-15.0,-15.0,1,15.0,0.0
5965-99-1571899,-15.0,-5.0,3,21.0,6.0
DIRI-14-0004882,-15.0,-15.0,1,15.0,0.0
5895-01-6592841,-15.0,-5.0,3,16.0,1.0
5895-01-6590659,-15.0,-3.75,4,18.0,3.0
DIRI-14-0004771,-15.0,-15.0,1,15.0,0.0
5998-14-4682244,-15.0,-1.67,9,47.0,32.0
5998-14-4978787,-15.0,-3.0,5,35.0,20.0
7025-01-5737277,-15.0,-3.75,4,17.0,2.0
7025-14-5955965,-15.0,-1.88,8,15.0,0.0
5998-14-4978789,-15.0,-3.0,5,23.0,8.0
7025-14-6031213,15.0,15.0,1,1.0,16.0
7025-14-5918578,-15.0,-1.88,8,17.0,2.0
DIRI-14-0003848,-15.0,-15.0,1,15.0,0.0
7025-14-5925760,-15.0,-15.0,1,15.0,0.0
5895-14-5907917,15.0,5.0,3,3.0,18.0
7010-41-0031165,-15.0,-3.75,4,15.0,0.0
8145-14-5899649,-15.0,-15.0,1,15.0,0.0
5998-14-5271978,-15.0,-1.5,10,44.0,29.0
7025-01-6233604,15.0,2.5,6,30.0,45.0
5820-14-5922105,-15.0,-3.0,5,32.0,17.0
6625-58-0017819,-15.0,-1.5,10,15.0,0.0
5985-22-2823422,-15.0,-1.67,9,27.0,12.0
6060-27-0676923,-15.0,-1.36,11,18.0,3.0
7021-26-3009777,-15.0,-3.75,4,15.0,0.0
7010-14-5740053,15.0,2.5,6,7.0,22.0
5895-22-6201673,-15.0,-5.0,3,15.0,0.0
7025-01-6997436,-15.0,-15.0,1,15.0,0.0
5810-14-3948634,-15.0,-15.0,1,15.0,0.0
5805-01-6090491,-15.0,-15.0,1,15.0,0.0
5975-14-5673309,-15.0,-7.5,2,15.0,0.0
5820-14-5721240,-15.0,-15.0,1,15.0,0.0
7025-21-9066200,-15.0,-15.0,1,15.0,0.0
7035-14-5939930,-15.0,-7.5,2,15.0,0.0
5805-14-5739158,15.0,2.14,7,20.0,35.0
6099-99-9592006,-15.0,-5.0,3,15.0,0.0
7021-17-1278669,-15.0,-3.75,4,23.0,8.0
7025-22-6279694,15.0,15.0,1,2.0,17.0
6625-14-5930037,-15.0,-7.5,2,15.0,0.0
5975-14-5250658,-15.0,-1.5,10,24.0,9.0
7035-01-6713055,-15.0,-15.0,1,15.0,0.0
7025-01-5655430,-15.0,-1.15,13,44.0,29.0
9020-DI-1032016,-15.0,-15.0,1,15.0,0.0
7021-14-5537576,-15.0,-5.0,3,15.0,0.0
9010-DI-1072013,-15.0,-5.0,3,17.0,2.0
6130-01-6654038,15.0,7.5,2,3.0,18.0
7035-14-5914935,-15.0,-3.0,5,15.0,0.0
7025-01-6151776,-15.0,-1.88,8,19.0,4.0
5998-14-5525162,-15.0,-3.0,5,15.0,0.0
7025-14-5788960,-15.0,-15.0,1,15.0,0.0
7035-01-6718225,-15.0,-3.75,4,15.0,0.0
7025-01-6301434,14.0,1.75,8,13.0,27.0
6030-14-6009884,-14.0,-14.0,1,14.0,0.0
5998-01-5163958,-14.0,-2.33,6,15.0,1.0
5998-14-4491651,-14.0,-1.17,12,86.0,72.0
5975-14-5906144,-14.0,-3.5,4,14.0,0.0
5998-99-1082989,-14.0,-4.67,3,14.0,0.0
6130-14-5849998,-14.0,-3.5,4,16.0,2.0
5998-14-4252176,14.0,3.5,4,7.0,21.0
7025-14-6017455,-14.0,-2.8,5,14.0,0.0
7025-01-5368876,-14.0,-4.67,3,18.0,4.0
5985-99-7056577,-14.0,-14.0,1,14.0,0.0
7025-14-5462473,-14.0,-2.8,5,14.0,0.0
5985-14-5362803,-14.0,-14.0,1,14.0,0.0
7025-66-1638304,-14.0,-4.67,3,19.0,5.0
6130-01-6774495,-14.0,-7.0,2,14.0,0.0
7025-41-0006887,-14.0,-14.0,1,14.0,0.0
7025-01-6409765,14.0,4.67,3,9.0,23.0
7025-14-5959494,-14.0,-3.5,4,14.0,0.0
5985-14-5791164,-14.0,-14.0,1,14.0,0.0
5998-14-5395121,-14.0,-14.0,1,14.0,0.0
5975-14-4679339,-14.0,-14.0,1,14.0,0.0
7025-01-6152960,-14.0,-1.17,12,34.0,20.0
5998-01-6651544,-14.0,-1.56,9,18.0,4.0
5975-14-4491638,-14.0,-2.33,6,32.0,18.0
5998-14-5507408,14.0,7.0,2,1.0,15.0
6130-01-5442517,-14.0,-7.0,2,14.0,0.0
6625-12-3735130,-14.0,-7.0,2,14.0,0.0
5985-01-6703981,-14.0,-14.0,1,14.0,0.0
5996-14-5886251,-14.0,-2.33,6,23.0,9.0
7025-01-6509568,-14.0,-3.5,4,14.0,0.0
7025-21-9210992,-14.0,-1.56,9,14.0,0.0
5998-01-6548823,-14.0,-7.0,2,14.0,0.0
5998-14-4852164,-14.0,-2.8,5,20.0,6.0
6130-14-5525332,-14.0,-7.0,2,19.0,5.0
5975-01-5362382,-14.0,-4.67,3,15.0,1.0
7025-14-5940652,-14.0,-3.5,4,14.0,0.0
5998-14-4779666,14.0,7.0,2,3.0,17.0
7025-14-6066677,-14.0,-14.0,1,14.0,0.0
7025-01-6744363,-14.0,-14.0,1,14.0,0.0
5985-01-6241319,-14.0,-14.0,1,14.0,0.0
6625-12-3465937,-14.0,-1.4,10,14.0,0.0
7025-01-6562273,-14.0,-7.0,2,14.0,0.0
5820-14-5723061,-14.0,-7.0,2,14.0,0.0
5820-25-1514941,-14.0,-14.0,1,14.0,0.0
5895-58-0018047,-14.0,-3.5,4,14.0,0.0
7490-14-5904254,-14.0,-1.4,10,14.0,0.0
7025-01-4521870,-14.0,-3.5,4,14.0,0.0
7035-14-5767846,-14.0,-3.5,4,16.0,2.0
6730-14-5808960,-14.0,-2.8,5,19.0,5.0
5895-14-5729617,-14.0,-2.33,6,21.0,7.0
7035-14-5888052,-14.0,-1.75,8,18.0,4.0
7490-14-5580395,14.0,7.0,2,1.0,15.0
5935-01-1425029,-14.0,-7.0,2,14.0,0.0
5895-14-5034229,-14.0,-1.56,9,16.0,2.0
7490-01-6642322,-14.0,-7.0,2,15.0,1.0
5820-14-5850279,-14.0,-4.67,3,14.0,0.0
5820-12-3399834,-14.0,-7.0,2,24.0,10.0
5895-01-5720755,14.0,1.75,8,26.0,40.0
5895-01-5743613,14.0,4.67,3,3.0,17.0
5805-14-5059521,-14.0,-7.0,2,14.0,0.0
5895-01-6446663,-14.0,-4.67,3,14.0,0.0
5930-15-0249776,-14.0,-3.5,4,14.0,0.0
5820-14-5872662,-14.0,-14.0,1,14.0,0.0
5895-01-6075842,-14.0,-7.0,2,26.0,12.0
5895-14-5061100,-14.0,-3.5,4,18.0,4.0
5895-14-5267328,-14.0,-4.67,3,15.0,1.0
5820-14-5892201,-14.0,-7.0,2,19.0,5.0
5895-01-6083482,14.0,1.75,8,26.0,40.0
DIRI-14-0000112,-14.0,-14.0,1,14.0,0.0
5895-14-5792144,-14.0,-2.33,6,24.0,10.0
7021-01-6527569,-14.0,-14.0,1,14.0,0.0
5410-14-5165578,-14.0,-1.75,8,14.0,0.0
9080-DI-0592024,-14.0,-1.27,11,14.0,0.0
7010-20-0137418,-14.0,-3.5,4,17.0,3.0
5895-01-6920534,-14.0,-4.67,3,14.0,0.0
7050-01-6786867,-14.0,-2.33,6,14.0,0.0
7021-14-5456781,14.0,2.33,6,23.0,37.0
7021-14-6009292,-14.0,-2.8,5,17.0,3.0
5895-01-6764662,-14.0,-14.0,1,14.0,0.0
7010-14-5853737,-14.0,-4.67,3,18.0,4.0
7035-41-0036707,-14.0,-4.67,3,14.0,0.0
5895-14-5873968,-14.0,-7.0,2,14.0,0.0
5895-14-5873932,-14.0,-7.0,2,14.0,0.0
5815-14-4428916,-14.0,-14.0,1,14.0,0.0
5820-99-9288013,-14.0,-14.0,1,14.0,0.0
5836-01-7013353,-14.0,-14.0,1,16.0,2.0
7025-01-5322259,-14.0,-2.8,5,14.0,0.0
8145-14-5886585,14.0,7.0,2,4.0,18.0
7110-14-5925119,-14.0,-3.5,4,14.0,0.0
7025-14-5881889,-13.0,-3.25,4,17.0,4.0
5820-01-6073447,-13.0,-1.44,9,13.0,0.0
5895-01-6638967,-13.0,-6.5,2,13.0,0.0
5985-12-3790068,-13.0,-2.17,6,13.0,0.0
5998-14-6091608,13.0,6.5,2,2.0,15.0
5895-15-1874926,-13.0,-13.0,1,13.0,0.0
7025-01-6429659,-13.0,-1.18,11,23.0,10.0
5805-14-3687031,-13.0,-3.25,4,24.0,11.0
6130-01-6015911,-13.0,-1.62,8,13.0,0.0
5998-14-5223322,-13.0,-1.18,11,76.0,63.0
5805-14-5667912,-13.0,-3.25,4,13.0,0.0
5820-99-5995329,-13.0,-2.6,5,15.0,2.0
9020-DI-1082016,13.0,0.65,20,138.0,151.0
6625-01-6060022,-13.0,-1.62,8,13.0,0.0
5810-14-6075553,-13.0,-0.87,15,48.0,35.0
5895-33-2051770,-13.0,-2.17,6,13.0,0.0
7035-01-6700210,-13.0,-13.0,1,13.0,0.0
5825-50-0011794,-13.0,-2.17,6,13.0,0.0
5830-14-5649885,-13.0,-2.17,6,13.0,0.0
6030-14-5906134,-13.0,-1.44,9,13.0,0.0
5985-01-5391143,-13.0,-4.33,3,34.0,21.0
5895-25-1509796,-13.0,-4.33,3,14.0,1.0
7025-15-0181946,-13.0,-13.0,1,13.0,0.0
5998-14-5595819,-13.0,-0.87,15,39.0,26.0
5805-14-5895428,-13.0,-4.33,3,92.0,79.0
5998-14-5250659,-13.0,-1.44,9,20.0,7.0
5975-22-6194870,-13.0,-3.25,4,13.0,0.0
5895-99-7538985,13.0,6.5,2,10.0,23.0
7010-14-5717703,-13.0,-4.33,3,16.0,3.0
7025-14-6088070,-13.0,-1.86,7,13.0,0.0
7025-01-7035251,-13.0,-1.86,7,20.0,7.0
6130-01-6103315,13.0,1.3,10,10.0,23.0
5998-14-4392518,-13.0,-1.08,12,65.0,52.0
7025-14-6078971,-13.0,-6.5,2,15.0,2.0
5998-01-5854029,-13.0,-6.5,2,13.0,0.0
DIRI-14-0004085,-13.0,-13.0,1,13.0,0.0
6130-14-5444543,-13.0,-6.5,2,13.0,0.0
5895-14-5648071,-13.0,-3.25,4,32.0,19.0
7025-14-5954573,-13.0,-2.17,6,13.0,0.0
6130-14-5748057,-13.0,-4.33,3,13.0,0.0
5985-99-9684754,-13.0,-13.0,1,13.0,0.0
5985-99-7427293,-13.0,-13.0,1,13.0,0.0
7025-01-5870789,-13.0,-1.3,10,13.0,0.0
5820-12-3824432,-13.0,-6.5,2,13.0,0.0
4130-14-5163194,-13.0,-3.25,4,13.0,0.0
7025-01-6525472,-13.0,-4.33,3,13.0,0.0
5895-14-6021161,-13.0,-3.25,4,22.0,9.0
7010-14-5982753,-13.0,-3.25,4,13.0,0.0
5985-27-0450694,-13.0,-2.17,6,13.0,0.0
6130-14-5926459,13.0,4.33,3,1.0,14.0
5985-14-5223379,-13.0,-2.6,5,13.0,0.0
6130-14-6064794,13.0,4.33,3,8.0,21.0
7025-01-6547473,-13.0,-6.5,2,13.0,0.0
5985-14-6021940,13.0,6.5,2,1.0,14.0
5985-14-6021918,13.0,6.5,2,4.0,17.0
7025-01-4920853,-13.0,-1.62,8,22.0,9.0
5820-14-4666502,-13.0,-2.6,5,13.0,0.0
7025-01-6608832,-13.0,-4.33,3,16.0,3.0
7025-01-5808229,-13.0,-0.93,14,38.0,25.0
7025-20-0042339,13.0,4.33,3,2.0,15.0
DIRI-14-0001894,-13.0,-6.5,2,13.0,0.0
7025-01-6470038,13.0,1.3,10,21.0,34.0
5998-99-2924692,-13.0,-2.6,5,26.0,13.0
6130-14-4587098,-13.0,-2.17,6,14.0,1.0
7050-14-5500097,-13.0,-1.62,8,18.0,5.0
7010-14-5848761,-13.0,-4.33,3,13.0,0.0
5998-14-5530408,-13.0,-6.5,2,13.0,0.0
5895-14-4659578,13.0,6.5,2,1.0,14.0
DIRI-14-0002909,-13.0,-13.0,1,13.0,0.0
7025-01-6838492,-13.0,-0.93,14,30.0,17.0
7025-01-5508539,-13.0,-2.17,6,13.0,0.0
5998-14-4252214,13.0,3.25,4,7.0,20.0
5998-14-4252184,13.0,3.25,4,7.0,20.0
7010-14-5615403,-13.0,-2.6,5,13.0,0.0
6030-12-3544720,-13.0,-2.6,5,18.0,5.0
5975-14-5939730,-13.0,-3.25,4,13.0,0.0
7010-01-6292543,-13.0,-6.5,2,13.0,0.0
DIRI-14-0003716,-13.0,-4.33,3,13.0,0.0
7021-01-7015060,-13.0,-6.5,2,13.0,0.0
6130-14-5115163,-13.0,-1.62,8,13.0,0.0
5820-14-5793166,-12.0,-12.0,1,12.0,0.0
7025-17-1289200,-12.0,-2.0,6,19.0,7.0
7035-01-6610789,-12.0,-12.0,1,12.0,0.0
5820-14-5850160,-12.0,-12.0,1,12.0,0.0
7025-14-5650072,-12.0,-3.0,4,14.0,2.0
5820-14-5892220,-12.0,-0.92,13,15.0,3.0
5998-14-5649409,-12.0,-0.41,29,53.0,41.0
7025-14-5642157,-12.0,-6.0,2,12.0,0.0
9060-DI-0042021,-12.0,-12.0,1,12.0,0.0
5895-37-5195061,-12.0,-6.0,2,17.0,5.0
5998-14-5717075,-12.0,-12.0,1,12.0,0.0
5820-99-5816107,-12.0,-6.0,2,12.0,0.0
7025-01-6199798,-12.0,-12.0,1,12.0,0.0
7025-01-6022525,-12.0,-6.0,2,12.0,0.0
5998-14-4252258,12.0,2.4,5,11.0,23.0
7035-14-6050256,-12.0,-1.09,11,12.0,0.0
5998-14-4252181,12.0,2.0,6,12.0,24.0
5895-14-5163140,-12.0,-3.0,4,12.0,0.0
7025-14-5925244,-12.0,-12.0,1,12.0,0.0
5895-14-6087734,-12.0,-6.0,2,12.0,0.0
5895-14-5467415,12.0,3.0,4,17.0,29.0
7021-17-1284788,-12.0,-3.0,4,12.0,0.0
5985-12-4260345,-12.0,-6.0,2,12.0,0.0
7025-14-5947583,-12.0,-4.0,3,13.0,1.0
5996-12-3439585,-12.0,-12.0,1,12.0,0.0
5895-14-5800352,-12.0,-3.0,4,16.0,4.0
5985-22-6203845,-12.0,-6.0,2,16.0,4.0
5985-14-5812060,-12.0,-6.0,2,12.0,0.0
5895-14-6004618,12.0,4.0,3,5.0,17.0
6625-14-5272197,-12.0,-1.33,9,12.0,0.0
5985-14-2964526,-12.0,-3.0,4,12.0,0.0
5895-13-1187328,-12.0,-12.0,1,12.0,0.0
5975-99-1666477,-12.0,-12.0,1,12.0,0.0
5895-01-5442493,-12.0,-4.0,3,12.0,0.0
5825-14-6115901,-12.0,-6.0,2,12.0,0.0
7025-01-5259494,-12.0,-6.0,2,12.0,0.0
7025-01-5608207,-12.0,-4.0,3,12.0,0.0
6625-99-4748956,-12.0,-12.0,1,12.0,0.0
5985-01-5858534,-12.0,-6.0,2,12.0,0.0
8145-01-5572759,-12.0,-6.0,2,12.0,0.0
5895-01-5403199,-12.0,-6.0,2,12.0,0.0
5895-01-5917078,-12.0,-3.0,4,12.0,0.0
5998-14-4747178,-12.0,-1.71,7,17.0,5.0
5998-14-5147122,-12.0,-3.0,4,23.0,11.0
5895-01-6135086,-12.0,-3.0,4,14.0,2.0
7025-14-5870960,-12.0,-4.0,3,12.0,0.0
5895-15-1949034,-12.0,-4.0,3,23.0,11.0
5998-14-4978786,-12.0,-1.0,12,96.0,84.0
