nomenclature,deficit_total,deficit_moyen,nb_magasins,total_exploitation,total_stock
6035-14-5884284,94.0,23.5,4,6.0,100.0
5895-14-5660254,-93.0,-6.64,14,93.0,0.0
5895-14-5877858,93.0,31.0,3,7.0,100.0
5998-14-4746102,-93.0,-6.2,15,108.0,15.0
DIRI-14-0000147,-92.0,-30.67,3,101.0,9.0
5895-14-5794633,-92.0,-10.22,9,109.0,17.0
6130-14-4852167,-92.0,-8.36,11,157.0,65.0
5930-22-6312299,-92.0,-7.67,12,96.0,4.0
5998-14-4852163,-92.0,-7.67,12,153.0,61.0
7025-01-6065502,-91.0,-4.14,22,115.0,24.0
7025-14-5893613,-91.0,-45.5,2,91.0,0.0
5895-15-0039578,91.0,45.5,2,10.0,101.0
7021-14-5732754,-91.0,-10.11,9,101.0,10.0
7025-01-6997334,-91.0,-7.58,12,158.0,67.0
5805-99-3914317,-91.0,-11.38,8,91.0,0.0
DIRI-14-0005358,-90.0,-45.0,2,90.0,0.0
5998-14-4535516,-90.0,-7.5,12,128.0,38.0
7025-15-0026042,-89.0,-9.89,9,89.0,0.0
5805-14-5407614,-89.0,-5.93,15,104.0,15.0
5998-14-4761919,-88.0,-5.87,15,99.0,11.0
5895-14-5501846,88.0,8.0,11,21.0,109.0
5895-01-6069771,-87.0,-17.4,5,89.0,2.0
5998-01-5832455,87.0,29.0,3,4.0,91.0
7025-01-6844735,87.0,7.25,12,66.0,153.0
7025-14-5714152,-87.0,-29.0,3,95.0,8.0
5998-14-5649245,-87.0,-3.95,22,103.0,16.0
5820-14-5568480,86.0,21.5,4,42.0,128.0
5998-14-4852177,-86.0,-7.17,12,121.0,35.0
7195-14-5872686,-86.0,-2.87,30,93.0,7.0
7025-01-6584614,-86.0,-14.33,6,88.0,2.0
5805-01-6442680,-86.0,-4.3,20,309.0,223.0
7025-01-6468008,-86.0,-6.14,14,108.0,22.0
7010-01-6441911,-85.0,-4.47,19,104.0,19.0
5998-01-6208318,-85.0,-10.62,8,92.0,7.0
DIRI-14-0002384,-84.0,-84.0,1,84.0,0.0
5998-14-5223334,-84.0,-8.4,10,104.0,20.0
5820-01-6525394,-84.0,-84.0,1,84.0,0.0
7025-14-5894540,84.0,7.64,11,76.0,160.0
DIRI-14-0003330,-83.0,-20.75,4,85.0,2.0
5975-58-0013321,-83.0,-5.93,14,83.0,0.0
