nomenclature,deficit_total,nb_magasins,deficit_moyen,total_exploitation,total_stock
7025-01-7068901,65.0,2,32.5,33.0,98.0
7025-14-5534842,65.0,2,32.5,7.0,72.0
5998-14-5115539,-65.0,3,-21.67,71.0,6.0
6030-01-4858177,65.0,1,65.0,10.0,75.0
6130-14-5797008,-64.0,3,-21.33,84.0,20.0
7025-14-6034814,-63.0,3,-21.0,72.0,9.0
7025-01-6013212,62.0,1,62.0,7.0,69.0
5805-14-5795343,-62.0,1,-62.0,63.0,1.0
7025-01-5388114,62.0,2,31.0,8.0,70.0
7025-01-6720552,-61.0,8,-7.62,128.0,67.0
7025-01-7016891,-61.0,8,-7.62,157.0,96.0
5998-14-5223322,61.0,1,61.0,2.0,63.0
5998-14-4491658,61.0,1,61.0,3.0,64.0
5998-14-4491645,60.0,1,60.0,4.0,64.0
7025-01-6533455,-60.0,1,-60.0,71.0,11.0
7025-01-6525478,60.0,1,60.0,2.0,62.0
6130-14-4491648,59.0,1,59.0,2.0,61.0
5998-20-0085538,-58.0,3,-19.33,63.0,5.0
5998-14-5149583,-58.0,3,-19.33,66.0,8.0
5998-14-5115538,-57.0,3,-19.0,63.0,6.0
7025-14-5950147,57.0,1,57.0,21.0,78.0
7025-01-6659124,-56.0,7,-8.0,80.0,24.0
5895-14-5818581,-55.0,4,-13.75,100.0,45.0
5895-01-6038918,54.0,2,27.0,19.0,73.0
5895-14-5591085,53.0,2,26.5,29.0,82.0
7010-14-5933477,-53.0,1,-53.0,56.0,3.0
5998-14-4491655,53.0,2,26.5,9.0,62.0
7010-14-5870866,52.0,1,52.0,3.0,55.0
6130-01-6439237,52.0,2,26.0,18.0,70.0
7035-14-5499899,52.0,1,52.0,2.0,54.0
5805-14-5395177,51.0,4,12.75,19.0,70.0
5998-14-4392518,51.0,1,51.0,1.0,52.0
5965-14-4177295,51.0,1,51.0,4.0,55.0
7025-01-6997334,-50.0,4,-12.5,117.0,67.0
5820-99-9596146,-50.0,2,-25.0,174.0,124.0
6130-14-5650944,-49.0,4,-12.25,64.0,15.0
7025-01-6667665,-48.0,2,-24.0,54.0,6.0
5895-01-6658656,-47.0,2,-23.5,50.0,3.0
6130-14-5641779,46.0,1,46.0,2.0,48.0
9030-DI-1012015,-46.0,1,-46.0,50.0,4.0
8145-14-5955933,45.0,1,45.0,1.0,46.0
5998-14-5314940,44.0,1,44.0,4.0,48.0
5825-64-0000616,-44.0,4,-11.0,52.0,8.0
5810-14-5879461,-44.0,6,-7.33,63.0,19.0
5998-14-4491657,44.0,1,44.0,2.0,46.0
5998-14-4491641,43.0,1,43.0,8.0,51.0
7025-01-5997505,43.0,2,21.5,3.0,46.0
7025-14-5947967,-43.0,4,-10.75,82.0,39.0
5975-14-5882845,-41.0,7,-5.86,119.0,78.0
5998-14-4535521,-41.0,1,-41.0,42.0,1.0
6130-01-6470900,-40.0,2,-20.0,43.0,3.0
7035-14-5914936,40.0,2,20.0,20.0,60.0
5998-14-4852172,39.0,1,39.0,2.0,41.0
9080-DI-0392021,-39.0,2,-19.5,50.0,11.0
5895-14-5223346,38.0,1,38.0,1.0,39.0
7035-01-6852648,-37.0,2,-18.5,41.0,4.0
7025-14-5961091,37.0,1,37.0,9.0,46.0
7025-01-6409763,-37.0,3,-12.33,63.0,26.0
5895-14-5892204,37.0,2,18.5,42.0,79.0
