nomenclature,deficit_total,nb_magasins,deficit_moyen,total_exploitation,total_stock
7025-01-6571266,-6.0,1,-6.0,8.0,2.0
5895-14-5454738,-6.0,1,-6.0,9.0,3.0
5895-14-5270509,-6.0,1,-6.0,8.0,2.0
5998-14-4852176,-6.0,2,-3.0,28.0,22.0
DIRI-14-0000147,6.0,1,6.0,3.0,9.0
5820-14-6071994,-6.0,2,-3.0,12.0,6.0
5895-01-5354405,-6.0,1,-6.0,7.0,1.0
5895-14-5501850,-6.0,1,-6.0,7.0,1.0
5930-01-5997585,-5.0,2,-2.5,11.0,6.0
7025-15-1830250,5.0,1,5.0,3.0,8.0
5996-14-4823376,-5.0,1,-5.0,6.0,1.0
7025-01-5872235,5.0,1,5.0,2.0,7.0
7025-99-3345611,5.0,1,5.0,3.0,8.0
5998-14-4852164,5.0,1,5.0,1.0,6.0
5998-01-5863401,5.0,1,5.0,10.0,15.0
5998-14-5149587,5.0,3,1.67,4.0,9.0
7025-01-6241110,5.0,6,0.83,40.0,45.0
5998-14-4823904,-5.0,1,-5.0,7.0,2.0
5820-22-6363449,-5.0,1,-5.0,12.0,7.0
5820-01-5587811,5.0,1,5.0,1.0,6.0
9030-DI-0012017,-5.0,1,-5.0,10.0,5.0
5975-14-5355910,-5.0,2,-2.5,9.0,4.0
7025-14-5955956,-5.0,1,-5.0,6.0,1.0
6130-01-6583657,-5.0,1,-5.0,6.0,1.0
DIRI-14-0004182,5.0,1,5.0,2.0,7.0
7025-01-6550777,-5.0,1,-5.0,7.0,2.0
7035-01-6083487,5.0,2,2.5,20.0,25.0
9090-DI-ELI0001,5.0,1,5.0,1.0,6.0
5805-71-0399731,-5.0,1,-5.0,10.0,5.0
7025-14-5885005,5.0,1,5.0,6.0,11.0
5810-14-5872772,-5.0,1,-5.0,6.0,1.0
5810-14-5879458,5.0,1,5.0,1.0,6.0
5895-14-5710809,-5.0,1,-5.0,6.0,1.0
5985-14-5618739,5.0,1,5.0,5.0,10.0
7025-01-6471718,-5.0,1,-5.0,6.0,1.0
5830-14-5548763,5.0,1,5.0,6.0,11.0
5998-14-5648977,5.0,2,2.5,12.0,17.0
9010-DI-1062012,5.0,1,5.0,2.0,7.0
5895-14-5730049,-5.0,3,-1.67,15.0,10.0
7025-14-5931735,-5.0,1,-5.0,6.0,1.0
9010-DI-1072016,-5.0,1,-5.0,50.0,45.0
6130-14-5740012,4.0,1,4.0,2.0,6.0
DIRI-14-0002769,4.0,1,4.0,1.0,5.0
7025-01-6675302,4.0,1,4.0,1.0,5.0
5895-14-5597509,4.0,1,4.0,2.0,6.0
7025-01-5543248,4.0,1,4.0,2.0,6.0
5915-14-4852179,-4.0,3,-1.33,79.0,75.0
5998-14-4761920,-4.0,1,-4.0,6.0,2.0
9030-DI-0012014,-4.0,2,-2.0,35.0,31.0
5895-14-5595817,4.0,1,4.0,3.0,7.0
6625-33-2192577,4.0,1,4.0,1.0,5.0
5820-22-6244938,4.0,1,4.0,2.0,6.0
7025-01-5867725,-4.0,2,-2.0,8.0,4.0
DIRI-14-0006261,4.0,1,4.0,1.0,5.0
7025-01-6963056,-4.0,4,-1.0,47.0,43.0
5998-14-4747163,-4.0,1,-4.0,6.0,2.0
7035-14-5914982,4.0,4,1.0,34.0,38.0
5930-15-0180733,-4.0,2,-2.0,9.0,5.0
5895-14-5377197,4.0,1,4.0,5.0,9.0
7025-15-0168475,4.0,1,4.0,4.0,8.0
7025-01-6468008,-4.0,1,-4.0,8.0,4.0
5895-14-6004618,4.0,1,4.0,3.0,7.0
5985-15-0082430,4.0,1,4.0,1.0,5.0
5895-14-6075442,4.0,1,4.0,4.0,8.0
5998-14-5511953,-4.0,1,-4.0,5.0,1.0
7025-01-6712573,-4.0,1,-4.0,7.0,3.0
5998-01-4565949,-4.0,1,-4.0,7.0,3.0
7021-17-1278669,-4.0,2,-2.0,12.0,8.0
5998-01-5834169,-4.0,2,-2.0,9.0,5.0
5820-14-4673111,4.0,1,4.0,1.0,5.0
7025-01-6426701,4.0,1,4.0,1.0,5.0
5965-99-1571899,-3.0,1,-3.0,9.0,6.0
7025-01-6919340,-3.0,1,-3.0,4.0,1.0
7035-01-6753307,3.0,1,3.0,2.0,5.0
7025-01-6538334,3.0,1,3.0,4.0,7.0
7025-01-6264014,3.0,1,3.0,2.0,5.0
5930-15-0140306,-3.0,1,-3.0,6.0,3.0
5985-22-6043146,-3.0,1,-3.0,4.0,1.0
7025-01-6795313,-3.0,1,-3.0,4.0,1.0
5975-14-4761893,-3.0,1,-3.0,7.0,4.0
5820-99-5083499,3.0,1,3.0,1.0,4.0
7025-01-6301434,3.0,1,3.0,1.0,4.0
5975-01-6429655,-3.0,1,-3.0,4.0,1.0
5895-14-6099254,3.0,1,3.0,2.0,5.0
5998-14-4636521,-3.0,1,-3.0,5.0,2.0
5820-01-7078911,3.0,1,3.0,1.0,4.0
5820-01-6073345,3.0,1,3.0,1.0,4.0
7025-01-5977347,3.0,1,3.0,1.0,4.0
6730-14-5730476,-3.0,1,-3.0,4.0,1.0
5895-01-6906682,3.0,1,3.0,1.0,4.0
5895-14-2620980,3.0,1,3.0,2.0,5.0
5810-14-6005236,3.0,1,3.0,3.0,6.0
7025-14-6070179,3.0,1,3.0,1.0,4.0
9030-DI-1012013,-3.0,1,-3.0,5.0,2.0
9030-DI-1022013,3.0,1,3.0,3.0,6.0
9070-DI-0022023,3.0,1,3.0,7.0,10.0
5810-14-5668143,-3.0,1,-3.0,4.0,1.0
6130-25-1625841,3.0,1,3.0,4.0,7.0
6060-27-0676923,-3.0,1,-3.0,6.0,3.0
DIRI-14-0001992,-3.0,1,-3.0,6.0,3.0
5805-01-6146636,3.0,1,3.0,2.0,5.0
6130-14-5355924,-3.0,1,-3.0,5.0,2.0
7025-14-5984652,3.0,1,3.0,2.0,5.0
7010-14-5534805,-3.0,2,-1.5,5.0,2.0
5975-14-5325427,3.0,1,3.0,3.0,6.0
5895-01-5838449,3.0,1,3.0,3.0,6.0
7035-14-5956432,3.0,1,3.0,1.0,4.0
7025-01-5455184,-3.0,4,-0.75,303.0,300.0
5820-14-6075773,3.0,1,3.0,1.0,4.0
7025-17-1278676,-3.0,1,-3.0,4.0,1.0
7025-14-4504323,-3.0,2,-1.5,5.0,2.0
5895-15-1922999,3.0,2,1.5,8.0,11.0
7025-01-7035251,3.0,1,3.0,2.0,5.0
7195-14-5872686,-3.0,2,-1.5,10.0,7.0
5998-14-5164411,-3.0,1,-3.0,4.0,1.0
5820-14-5855447,3.0,1,3.0,1.0,4.0
7025-17-1289200,-3.0,1,-3.0,8.0,5.0
7025-01-5944767,3.0,1,3.0,2.0,5.0
7025-01-7232642,3.0,1,3.0,2.0,5.0
5895-14-5606810,-2.0,1,-2.0,4.0,2.0
5975-14-4761674,2.0,1,2.0,3.0,5.0
5975-12-4027570,2.0,1,2.0,1.0,3.0
5930-01-5842661,2.0,1,2.0,2.0,4.0
7025-01-6702129,2.0,1,2.0,4.0,6.0
5895-14-5377196,2.0,1,2.0,12.0,14.0
5895-14-5166738,-2.0,1,-2.0,3.0,1.0
5895-01-5242108,-2.0,1,-2.0,3.0,1.0
5895-14-4839705,-2.0,1,-2.0,4.0,2.0
7025-14-5536987,-2.0,1,-2.0,8.0,6.0
5963-01-5295714,-2.0,1,-2.0,3.0,1.0
5965-99-3632588,2.0,1,2.0,25.0,27.0
7025-14-5803539,2.0,1,2.0,2.0,4.0
5895-01-6589142,2.0,1,2.0,1.0,3.0
5930-22-6312299,-2.0,1,-2.0,5.0,3.0
5975-14-4875871,-2.0,1,-2.0,3.0,1.0
6625-14-5734509,2.0,1,2.0,3.0,5.0
7021-14-5732754,-2.0,1,-2.0,6.0,4.0
7021-14-5732750,-2.0,1,-2.0,10.0,8.0
5998-14-5192060,-2.0,1,-2.0,3.0,1.0
7025-01-6601422,-2.0,1,-2.0,4.0,2.0
5998-14-5402907,-2.0,1,-2.0,3.0,1.0
7010-14-5918742,-2.0,1,-2.0,3.0,1.0
5820-14-5828152,-2.0,1,-2.0,3.0,1.0
5998-14-5595819,-2.0,1,-2.0,3.0,1.0
5998-14-5649212,2.0,2,1.0,4.0,6.0
5998-14-5737608,-2.0,1,-2.0,5.0,3.0
7010-01-6292498,-2.0,1,-2.0,4.0,2.0
6625-14-6066670,-2.0,1,-2.0,3.0,1.0
6625-14-5670399,-2.0,1,-2.0,7.0,5.0
7025-01-4721969,-2.0,1,-2.0,3.0,1.0
6625-14-4797737,-2.0,1,-2.0,3.0,1.0
9030-DI-1012012,2.0,1,2.0,3.0,5.0
6625-01-4895585,-2.0,1,-2.0,3.0,1.0
5810-14-5980146,-2.0,1,-2.0,3.0,1.0
6150-01-6603858,2.0,1,2.0,12.0,14.0
6030-14-5737048,2.0,1,2.0,1.0,3.0
5805-71-0399726,-2.0,1,-2.0,3.0,1.0
6030-17-1210491,2.0,1,2.0,1.0,3.0
5180-01-6719403,-2.0,1,-2.0,3.0,1.0
6130-01-6606192,2.0,1,2.0,4.0,6.0
6130-14-4587098,-2.0,1,-2.0,3.0,1.0
6130-14-5355913,-2.0,2,-1.0,11.0,9.0
5820-14-5892220,2.0,1,2.0,1.0,3.0
7025-14-5984746,-2.0,1,-2.0,3.0,1.0
5820-14-5892224,2.0,1,2.0,6.0,8.0
5820-30-7003089,2.0,1,2.0,1.0,3.0
5975-14-5882009,-2.0,1,-2.0,4.0,2.0
7025-01-6504722,-2.0,1,-2.0,4.0,2.0
7025-01-6469110,-2.0,1,-2.0,8.0,6.0
5998-01-4970950,-2.0,1,-2.0,3.0,1.0
5998-01-5372086,-2.0,1,-2.0,4.0,2.0
7025-01-6108647,-2.0,1,-2.0,4.0,2.0
7025-01-6038153,-2.0,1,-2.0,5.0,3.0
7035-14-5856050,2.0,1,2.0,1.0,3.0
5820-22-3090055,-2.0,1,-2.0,4.0,2.0
5998-14-4779666,-2.0,1,-2.0,3.0,1.0
5820-22-6226301,-1.0,2,-0.5,18.0,17.0
5820-99-8703821,1.0,1,1.0,6.0,7.0
5895-14-5147138,-1.0,1,-1.0,2.0,1.0
5820-99-5995329,-1.0,1,-1.0,2.0,1.0
7035-01-6795875,1.0,1,1.0,1.0,2.0
5820-14-5875894,-1.0,2,-0.5,4.0,3.0
7195-14-5961369,1.0,1,1.0,1.0,2.0
DIRI-14-0000564,-1.0,1,-1.0,2.0,1.0
5895-14-4172146,-1.0,1,-1.0,4.0,3.0
7035-01-5636950,1.0,1,1.0,1.0,2.0
DIRI-14-0004337,1.0,1,1.0,1.0,2.0
5820-22-3080240,-1.0,1,-1.0,2.0,1.0
5180-01-6719397,-1.0,1,-1.0,3.0,2.0
7035-01-5560536,1.0,1,1.0,1.0,2.0
5840-01-5854521,1.0,1,1.0,2.0,3.0
7035-01-6874627,-1.0,1,-1.0,2.0,1.0
5895-01-5435863,1.0,1,1.0,1.0,2.0
7035-14-5915330,1.0,1,1.0,1.0,2.0
5820-01-5587404,-1.0,1,-1.0,2.0,1.0
5820-99-4007335,-1.0,1,-1.0,2.0,1.0
5895-01-7218005,-1.0,1,-1.0,2.0,1.0
7025-41-0040639,1.0,1,1.0,6.0,7.0
9010-DI-1092016,-1.0,1,-1.0,3.0,2.0
5895-01-6850029,1.0,1,1.0,1.0,2.0
7050-01-5216877,-1.0,1,-1.0,2.0,1.0
7035-14-5860689,-1.0,1,-1.0,10.0,9.0
5820-14-5850161,-1.0,1,-1.0,6.0,5.0
5895-01-6469018,-1.0,1,-1.0,8.0,7.0
7025-15-2332996,-1.0,1,-1.0,3.0,2.0
7025-14-6008524,1.0,1,1.0,19.0,20.0
5820-14-5816498,1.0,1,1.0,2.0,3.0
5820-14-5875037,-1.0,1,-1.0,2.0,1.0
DIRI-14-0006424,1.0,1,1.0,2.0,3.0
7025-14-5948058,-1.0,1,-1.0,6.0,5.0
5998-01-6155740,-1.0,1,-1.0,2.0,1.0
6625-01-3504320,-1.0,1,-1.0,2.0,1.0
5998-14-4747170,1.0,1,1.0,2.0,3.0
5998-01-6590119,-1.0,1,-1.0,2.0,1.0
5998-01-6553094,1.0,1,1.0,1.0,2.0
6625-00-6495070,-1.0,1,-1.0,2.0,1.0
6605-14-5897103,1.0,1,1.0,1.0,2.0
7025-01-6168725,1.0,1,1.0,2.0,3.0
5975-14-5882187,1.0,1,1.0,1.0,2.0
5998-01-5757590,1.0,1,1.0,5.0,6.0
5998-14-5836101,-1.0,1,-1.0,4.0,3.0
6021-01-6909686,1.0,1,1.0,1.0,2.0
7025-01-6429665,-1.0,1,-1.0,4.0,3.0
5985-14-5147145,-1.0,1,-1.0,2.0,1.0
5985-12-3626193,1.0,1,1.0,1.0,2.0
6625-01-3862133,1.0,1,1.0,1.0,2.0
6625-01-5041724,1.0,1,1.0,1.0,2.0
7025-01-5560990,1.0,1,1.0,2.0,3.0
7025-01-5309889,1.0,1,1.0,1.0,2.0
6625-12-1939699,-1.0,1,-1.0,2.0,1.0
5998-14-4978788,-1.0,1,-1.0,2.0,1.0
7021-14-5808962,-1.0,1,-1.0,2.0,1.0
7021-14-5656377,-1.0,1,-1.0,5.0,4.0
6625-33-2131819,-1.0,1,-1.0,2.0,1.0
5998-14-5223329,1.0,1,1.0,1.0,2.0
6625-99-9695926,1.0,1,1.0,1.0,2.0
5998-14-5223330,-1.0,1,-1.0,2.0,1.0
5998-14-5521029,-1.0,1,-1.0,2.0,1.0
5998-14-5525011,-1.0,1,-1.0,3.0,2.0
7010-14-5862599,1.0,1,1.0,8.0,9.0
5998-14-5836098,-1.0,1,-1.0,2.0,1.0
7010-14-5737207,1.0,1,1.0,1.0,2.0
5985-01-5391143,-1.0,2,-0.5,22.0,21.0
5985-22-2823422,1.0,1,1.0,1.0,2.0
6060-22-6199436,1.0,1,1.0,1.0,2.0
6130-14-5849997,-1.0,1,-1.0,3.0,2.0
7025-14-5947646,-1.0,1,-1.0,3.0,2.0
6130-14-5598821,1.0,1,1.0,1.0,2.0
5895-14-5717558,-1.0,1,-1.0,2.0,1.0
6130-01-6858032,-1.0,2,-0.5,6.0,5.0
7025-14-5937400,-1.0,1,-1.0,10.0,9.0
5895-14-5792144,-1.0,1,-1.0,7.0,6.0
7025-14-5918578,-1.0,1,-1.0,2.0,1.0
5895-14-5795131,1.0,1,1.0,2.0,3.0
7025-14-5890944,1.0,1,1.0,1.0,2.0
7025-14-5881889,1.0,1,1.0,3.0,4.0
5895-14-5906383,-1.0,1,-1.0,2.0,1.0
5895-14-5850450,-1.0,1,-1.0,2.0,1.0
5998-14-5836096,-1.0,1,-1.0,4.0,3.0
7025-01-6589635,-1.0,1,-1.0,3.0,2.0
5895-22-6318527,1.0,2,0.5,6.0,7.0
7025-01-6659548,-1.0,1,-1.0,2.0,1.0
5895-99-1535529,1.0,1,1.0,3.0,4.0
6605-14-5897101,0.0,1,0.0,3.0,3.0
DIRI-14-0000952,0.0,1,0.0,1.0,1.0
6130-99-8455761,0.0,1,0.0,1.0,1.0
DIRI-14-0005624,0.0,1,0.0,1.0,1.0
5120-14-4884860,0.0,1,0.0,1.0,1.0
DIRI-14-0004647,0.0,1,0.0,1.0,1.0
7010-01-6953771,0.0,1,0.0,1.0,1.0
6625-14-5796970,0.0,1,0.0,1.0,1.0
9010-DI-1132016,0.0,1,0.0,1.0,1.0
5805-14-5925645,0.0,2,0.0,9.0,9.0
6625-14-4804682,0.0,1,0.0,1.0,1.0
DIRI-14-0002781,0.0,1,0.0,2.0,2.0
9080-DI-0102021,0.0,1,0.0,1.0,1.0
6130-01-6506482,0.0,1,0.0,1.0,1.0
6130-14-5849998,0.0,1,0.0,1.0,1.0
6130-01-6103315,0.0,1,0.0,1.0,1.0
5998-14-5836099,0.0,1,0.0,2.0,2.0
6625-01-6574269,0.0,1,0.0,1.0,1.0
DIRI-14-0003818,0.0,1,0.0,1.0,1.0
6030-14-5773598,0.0,1,0.0,4.0,4.0
6625-01-4464485,0.0,1,0.0,1.0,1.0
DIRI-14-0003454,0.0,1,0.0,2.0,2.0
6130-14-5842508,0.0,1,0.0,2.0,2.0
6625-01-1089833,0.0,1,0.0,1.0,1.0
5805-14-4781895,0.0,1,0.0,1.0,1.0
6080-01-4671900,0.0,1,0.0,1.0,1.0
6625-14-3661231,0.0,1,0.0,1.0,1.0
5998-14-4855681,0.0,2,0.0,26.0,26.0
7010-14-5477335,0.0,1,0.0,1.0,1.0
5998-14-5629870,0.0,1,0.0,1.0,1.0
7035-01-6598960,0.0,1,0.0,2.0,2.0
7025-01-6571296,0.0,1,0.0,1.0,1.0
7025-01-6584614,0.0,1,0.0,2.0,2.0
7025-12-4163952,0.0,1,0.0,1.0,1.0
7025-25-1619615,0.0,1,0.0,2.0,2.0
7025-14-5477377,0.0,1,0.0,1.0,1.0
7025-20-0090314,0.0,1,0.0,2.0,2.0
5895-14-6010909,0.0,1,0.0,1.0,1.0
7025-14-5790536,0.0,1,0.0,1.0,1.0
5895-01-5720755,0.0,1,0.0,2.0,2.0
5895-14-5866355,0.0,1,0.0,1.0,1.0
5895-14-5827556,0.0,2,0.0,11.0,11.0
7025-14-5886919,0.0,1,0.0,1.0,1.0
5895-01-6743878,0.0,1,0.0,2.0,2.0
7025-14-5944484,0.0,1,0.0,1.0,1.0
7025-14-5947346,0.0,1,0.0,1.0,1.0
7025-14-6066810,0.0,1,0.0,1.0,1.0
5895-14-5715103,0.0,1,0.0,4.0,4.0
5895-14-5648728,0.0,1,0.0,2.0,2.0
5985-14-4775839,0.0,1,0.0,1.0,1.0
5985-99-4718475,0.0,1,0.0,1.0,1.0
5996-14-5713747,0.0,1,0.0,1.0,1.0
7025-01-5360686,0.0,1,0.0,1.0,1.0
7010-14-5740052,0.0,1,0.0,4.0,4.0
7490-33-2195754,0.0,1,0.0,4.0,4.0
7010-14-5990398,0.0,1,0.0,4.0,4.0
5998-14-5208246,0.0,2,0.0,3.0,3.0
7021-01-6164932,0.0,1,0.0,1.0,1.0
7021-14-5658034,0.0,1,0.0,1.0,1.0
5998-14-5115518,0.0,1,0.0,1.0,1.0
5895-14-5637549,0.0,1,0.0,5.0,5.0
7025-01-5433411,0.0,2,0.0,9.0,9.0
5998-01-5061771,0.0,1,0.0,5.0,5.0
7025-01-5621808,0.0,1,0.0,1.0,1.0
7025-01-5627370,0.0,1,0.0,1.0,1.0
7025-01-5773090,0.0,1,0.0,2.0,2.0
7025-01-5808229,0.0,1,0.0,3.0,3.0
5998-14-4746102,0.0,1,0.0,3.0,3.0
7035-14-5869522,0.0,1,0.0,1.0,1.0
5998-01-6425700,0.0,1,0.0,2.0,2.0
7025-01-6106768,0.0,1,0.0,1.0,1.0
6130-14-5107037,0.0,1,0.0,1.0,1.0
