magasin;nomenclature;quantite_exploitation;quantite_stock;deficit;type_deficit;deficit_abs;ratio_exp_stock
MRC;5998-14-4535523;30.0;3.0;-27.0;MANQUE;27.0;9.997
BST;7490-01-6289942;33.0;6.0;-27.0;MANQUE;27.0;5.499
CHG;5810-14-5860296;34.0;7.0;-27.0;MANQUE;27.0;4.856
BST;7025-01-6429660;33.0;6.0;-27.0;MANQUE;27.0;5.499
CNSO;5998-01-6108956;2.0;29.0;27.0;SURPLUS;27.0;0.069
BST;7025-01-6997334;13.0;40.0;27.0;SURPLUS;27.0;0.325
CNSO;7025-01-6671018;31.0;4.0;-27.0;MANQUE;27.0;7.748
CNSO;DIRI-14-0003149;38.0;11.0;-27.0;MANQUE;27.0;3.454
BCE;5998-14-5649230;28.0;1.0;-27.0;MANQUE;27.0;27.972
BST;5895-01-6592493;31.0;5.0;-26.0;MANQUE;26.0;6.199
MRC;7035-12-4012369;27.0;1.0;-26.0;MANQUE;26.0;26.973
ANTACL;5930-01-6692243;10.0;36.0;26.0;SURPLUS;26.0;0.278
BST;5820-22-6229684;35.0;9.0;-26.0;MANQUE;26.0;3.888
CNSO;7025-14-5812058;2.0;28.0;26.0;SURPLUS;26.0;0.071
ANTACL;5895-01-6589391;27.0;1.0;-26.0;MANQUE;26.0;26.973
BST;5895-14-5714032;26.0;1.0;-25.0;MANQUE;25.0;25.974
CHG;5998-14-5649218;34.0;9.0;-25.0;MANQUE;25.0;3.777
BST;6130-14-5714038;29.0;4.0;-25.0;MANQUE;25.0;7.248
BCE;5998-14-5648968;26.0;1.0;-25.0;MANQUE;25.0;25.974
CNSO;5975-01-6312801;1.0;26.0;25.0;SURPLUS;25.0;0.038
MRC;7025-01-6997334;46.0;21.0;-25.0;MANQUE;25.0;2.19
BST;7010-01-6902880;28.0;3.0;-25.0;MANQUE;25.0;9.33
BST;5895-01-6590453;30.0;5.0;-25.0;MANQUE;25.0;5.999
CNSO;5998-14-5900499;37.0;12.0;-25.0;MANQUE;25.0;3.083
CNSO;DIRI-14-0001869;3.0;28.0;25.0;SURPLUS;25.0;0.107
CNSO;9030-DI-0012014;4.0;29.0;25.0;SURPLUS;25.0;0.138
MDM;5805-14-4813168;36.0;11.0;-25.0;MANQUE;25.0;3.272
BST;7025-14-5884250;36.0;11.0;-25.0;MANQUE;25.0;3.272
BST;7025-14-5947628;30.0;5.0;-25.0;MANQUE;25.0;5.999
CNSO;5998-14-5648968;4.0;28.0;24.0;SURPLUS;24.0;0.143
CNSO;5998-14-4852178;4.0;28.0;24.0;SURPLUS;24.0;0.143
MRC;5998-14-5115509;28.0;4.0;-24.0;MANQUE;24.0;6.998
CNSO;7025-14-5651814;1.0;25.0;24.0;SURPLUS;24.0;0.04
MRC;7490-01-6289942;25.0;1.0;-24.0;MANQUE;24.0;24.975
MRC;5998-14-4852169;25.0;1.0;-24.0;MANQUE;24.0;24.975
BST;6130-14-5839922;25.0;1.0;-24.0;MANQUE;24.0;24.975
MDM;7025-01-7016891;26.0;2.0;-24.0;MANQUE;24.0;12.994
CNSO;7010-14-5699183;26.0;2.0;-24.0;MANQUE;24.0;12.994
CGC;5998-14-5149581;25.0;1.0;-24.0;MANQUE;24.0;24.975
BST;5810-14-5763435;26.0;2.0;-24.0;MANQUE;24.0;12.994
CNSO;5998-14-5729629;3.0;27.0;24.0;SURPLUS;24.0;0.111
CGC;7025-01-6659124;25.0;1.0;-24.0;MANQUE;24.0;24.975
CNSO;7025-01-6336396;27.0;3.0;-24.0;MANQUE;24.0;8.997
CGC;7010-14-5961808;28.0;4.0;-24.0;MANQUE;24.0;6.998
MRC;5998-14-4852163;24.0;1.0;-23.0;MANQUE;23.0;23.976
ANTACL;5895-01-6548907;26.0;3.0;-23.0;MANQUE;23.0;8.664
MDM;5998-14-5648968;24.0;1.0;-23.0;MANQUE;23.0;23.976
BST;5825-01-5391144;32.0;9.0;-23.0;MANQUE;23.0;3.555
BST;7025-99-8201129;31.0;8.0;-23.0;MANQUE;23.0;3.875
CNSO;5820-14-5649877;1.0;24.0;23.0;SURPLUS;23.0;0.042
MDM;5998-14-5729634;25.0;2.0;-23.0;MANQUE;23.0;12.494
MRC;5810-14-5872748;24.0;1.0;-23.0;MANQUE;23.0;23.976
MRC;5810-14-5872750;24.0;1.0;-23.0;MANQUE;23.0;23.976
MRC;5998-20-0085539;23.0;1.0;-22.0;MANQUE;22.0;22.977
CNSO;7025-01-6013219;1.0;23.0;22.0;SURPLUS;22.0;0.043
ANTACL;5998-14-5649230;24.0;2.0;-22.0;MANQUE;22.0;11.994
CHG;5895-01-6548907;29.0;7.0;-22.0;MANQUE;22.0;4.142
MDM;5998-14-5649251;25.0;3.0;-22.0;MANQUE;22.0;8.331
CNSO;5998-14-4761677;1.0;23.0;22.0;SURPLUS;22.0;0.043
CNSO;7025-01-6429667;10.0;32.0;22.0;SURPLUS;22.0;0.312
CGC;7025-01-6471719;23.0;1.0;-22.0;MANQUE;22.0;22.977
CNSO;5998-14-4852175;5.0;27.0;22.0;SURPLUS;22.0;0.185
CHG;5998-14-4852176;24.0;2.0;-22.0;MANQUE;22.0;11.994
MRC;5895-01-6589391;41.0;19.0;-22.0;MANQUE;22.0;2.158
CNSO;5895-14-5993795;1.0;23.0;22.0;SURPLUS;22.0;0.043
CHG;7050-20-0042340;33.0;11.0;-22.0;MANQUE;22.0;3.0
BST;5895-01-7022542;23.0;1.0;-22.0;MANQUE;22.0;22.977
MRC;6130-14-4852167;24.0;2.0;-22.0;MANQUE;22.0;11.994
MRC;5998-14-5776623;23.0;2.0;-21.0;MANQUE;21.0;11.494
CNSO;9010-DI-1012013;23.0;2.0;-21.0;MANQUE;21.0;11.494
CHG;5820-14-5699765;22.0;1.0;-21.0;MANQUE;21.0;21.978
MDM;5998-14-4747177;24.0;3.0;-21.0;MANQUE;21.0;7.997
MRC;7025-01-6720552;23.0;2.0;-21.0;MANQUE;21.0;11.494
CNSO;5895-01-6998026;22.0;1.0;-21.0;MANQUE;21.0;21.978
CGC;7025-01-6720552;23.0;2.0;-21.0;MANQUE;21.0;11.494
CHG;5998-14-4852180;23.0;2.0;-21.0;MANQUE;21.0;11.494
BST;7025-14-6066248;49.0;28.0;-21.0;MANQUE;21.0;1.75
MRC;5805-14-5135582;22.0;1.0;-21.0;MANQUE;21.0;21.978
CNSO;6130-14-5648974;18.0;39.0;21.0;SURPLUS;21.0;0.462
BST;5836-37-5349926;22.0;2.0;-20.0;MANQUE;20.0;10.995
BST;5930-01-6692243;21.0;1.0;-20.0;MANQUE;20.0;20.979
CHG;5810-14-5879461;21.0;1.0;-20.0;MANQUE;20.0;20.979
CNSO;5895-14-5818581;1.0;21.0;20.0;SURPLUS;20.0;0.048
CHG;5820-99-9596146;10.0;30.0;20.0;SURPLUS;20.0;0.333
CNSO;7025-01-6691110;4.0;24.0;20.0;SURPLUS;20.0;0.167
BST;7025-15-0010786;22.0;2.0;-20.0;MANQUE;20.0;10.995
MDM;6130-14-4532514;21.0;1.0;-20.0;MANQUE;20.0;20.979
PAU;7050-01-6000825;21.0;1.0;-20.0;MANQUE;20.0;20.979
MRC;5998-14-5126208;21.0;1.0;-20.0;MANQUE;20.0;20.979
CNSO;7025-14-5930620;3.0;23.0;20.0;SURPLUS;20.0;0.13
BLD;6130-01-6798090;22.0;2.0;-20.0;MANQUE;20.0;10.995
CNSO;DIRI-14-0004877;2.0;22.0;20.0;SURPLUS;20.0;0.091
MRC;7025-14-5849743;21.0;1.0;-20.0;MANQUE;20.0;20.979
MRC;7025-14-5947569;21.0;1.0;-20.0;MANQUE;20.0;20.979
CHG;5895-01-6548830;22.0;2.0;-20.0;MANQUE;20.0;10.995
PAU;5998-14-5648968;22.0;2.0;-20.0;MANQUE;20.0;10.995
CNSO;7010-14-5862611;4.0;23.0;19.0;SURPLUS;19.0;0.174
MDM;5998-14-5217075;22.0;3.0;-19.0;MANQUE;19.0;7.331
CHG;5820-14-6011983;8.0;27.0;19.0;SURPLUS;19.0;0.296
MRC;5895-14-5603031;20.0;1.0;-19.0;MANQUE;19.0;19.98
BCE;5998-14-5729634;21.0;2.0;-19.0;MANQUE;19.0;10.495
CHG;5998-14-4855681;21.0;2.0;-19.0;MANQUE;19.0;10.495
CNSO;7035-14-5914982;10.0;29.0;19.0;SURPLUS;19.0;0.345
CNSO;7025-17-1278675;5.0;24.0;19.0;SURPLUS;19.0;0.208
PAU;7025-01-6519677;20.0;1.0;-19.0;MANQUE;19.0;19.98
MRC;5998-14-4536850;20.0;1.0;-19.0;MANQUE;19.0;19.98
CNSO;5998-14-4855681;5.0;24.0;19.0;SURPLUS;19.0;0.208
CGC;5998-14-5115538;20.0;1.0;-19.0;MANQUE;19.0;19.98
BST;5895-14-6008059;21.0;2.0;-19.0;MANQUE;19.0;10.495
CNSO;6130-14-5129607;1.0;20.0;19.0;SURPLUS;19.0;0.05
MDM;5998-14-4747179;22.0;3.0;-19.0;MANQUE;19.0;7.331
CGC;5810-14-5879461;20.0;1.0;-19.0;MANQUE;19.0;19.98
BST;7025-01-5379117;37.0;18.0;-19.0;MANQUE;19.0;2.055
MRC;7025-14-6034814;20.0;1.0;-19.0;MANQUE;19.0;19.98
MDM;5805-14-5899554;23.0;5.0;-18.0;MANQUE;18.0;4.599
BST;5998-14-5649411;19.0;1.0;-18.0;MANQUE;18.0;18.981
BLD;7025-14-5947967;22.0;4.0;-18.0;MANQUE;18.0;5.499
CGC;5998-14-5729629;19.0;1.0;-18.0;MANQUE;18.0;18.981
CNSO;5895-14-5637548;4.0;22.0;18.0;SURPLUS;18.0;0.182
BST;5895-14-5927592;1.0;19.0;18.0;SURPLUS;18.0;0.053
MRC;5895-14-5606807;22.0;4.0;-18.0;MANQUE;18.0;5.499
CGC;7021-14-5732755;22.0;4.0;-18.0;MANQUE;18.0;5.499
CNSO;DIRI-14-0004643;1.0;19.0;18.0;SURPLUS;18.0;0.053
MDM;5805-14-5117389;20.0;2.0;-18.0;MANQUE;18.0;9.995
CNSO;5998-14-4761678;2.0;20.0;18.0;SURPLUS;18.0;0.1
CGC;7025-01-6409763;19.0;1.0;-18.0;MANQUE;18.0;18.981
MRC;5998-14-5812746;20.0;2.0;-18.0;MANQUE;18.0;9.995
PAU;7035-01-6083487;4.0;22.0;18.0;SURPLUS;18.0;0.182
BST;7025-01-6720552;20.0;2.0;-18.0;MANQUE;18.0;9.995
CHG;7025-01-6720552;20.0;2.0;-18.0;MANQUE;18.0;9.995
ANTACL;5975-14-5882845;25.0;8.0;-17.0;MANQUE;17.0;3.125
BST;7025-14-6066924;7.0;24.0;17.0;SURPLUS;17.0;0.292
BST;6130-01-6594359;18.0;1.0;-17.0;MANQUE;17.0;17.982
CNSO;7035-25-1476091;1.0;18.0;17.0;SURPLUS;17.0;0.056
MDM;5998-14-5594755;23.0;6.0;-17.0;MANQUE;17.0;3.833
BST;5805-01-5795097;18.0;1.0;-17.0;MANQUE;17.0;17.982
BST;9010-DI-0012022;26.0;9.0;-17.0;MANQUE;17.0;2.889
MRC;5805-14-5883097;18.0;1.0;-17.0;MANQUE;17.0;17.982
MRC;5820-14-5649877;18.0;1.0;-17.0;MANQUE;17.0;17.982
CNSO;5998-14-5223334;3.0;20.0;17.0;SURPLUS;17.0;0.15
CNSO;7025-14-5584463;2.0;19.0;17.0;SURPLUS;17.0;0.105
CHG;5998-14-5649248;18.0;1.0;-17.0;MANQUE;17.0;17.982
MRC;7025-01-6241110;18.0;1.0;-17.0;MANQUE;17.0;17.982
CNSO;7025-01-6305849;7.0;24.0;17.0;SURPLUS;17.0;0.292
MDM;7025-01-6720552;18.0;1.0;-17.0;MANQUE;17.0;17.982
CNSO;6130-01-6654038;1.0;18.0;17.0;SURPLUS;17.0;0.056
CNSO;5805-14-4220850;2.0;18.0;16.0;SURPLUS;16.0;0.111
BST;7035-14-5914936;17.0;1.0;-16.0;MANQUE;16.0;16.983
BST;7025-01-7068901;19.0;3.0;-16.0;MANQUE;16.0;6.331
BLD;7025-01-7016891;25.0;9.0;-16.0;MANQUE;16.0;2.777
MRC;5998-14-5649434;23.0;7.0;-16.0;MANQUE;16.0;3.285
CNSO;7025-14-5930484;5.0;21.0;16.0;SURPLUS;16.0;0.238
CHG;5895-15-2168665;19.0;3.0;-16.0;MANQUE;16.0;6.331
MRC;6130-14-5147163;19.0;3.0;-16.0;MANQUE;16.0;6.331
CGC;5998-14-5649402;17.0;1.0;-16.0;MANQUE;16.0;16.983
CHG;7050-01-6861556;2.0;18.0;16.0;SURPLUS;16.0;0.111
CNSO;5895-14-4784400;1.0;17.0;16.0;SURPLUS;16.0;0.059
ANTACL;7025-01-6963056;10.0;26.0;16.0;SURPLUS;16.0;0.385
CHG;6130-14-5650944;22.0;6.0;-16.0;MANQUE;16.0;3.666
CNSO;8145-14-5886585;2.0;18.0;16.0;SURPLUS;16.0;0.111
CNSO;5975-14-4491638;2.0;18.0;16.0;SURPLUS;16.0;0.111
BST;5895-01-6659304;21.0;5.0;-16.0;MANQUE;16.0;4.199
CNSO;5998-14-4852176;4.0;20.0;16.0;SURPLUS;16.0;0.2
CGC;5998-20-0085537;16.0;1.0;-15.0;MANQUE;15.0;15.984
CGC;7025-01-6571299;17.0;2.0;-15.0;MANQUE;15.0;8.496
CNSO;5895-14-5951970;14.0;29.0;15.0;SURPLUS;15.0;0.483
MDM;5805-14-5216514;4.0;19.0;15.0;SURPLUS;15.0;0.211
BST;7025-22-6279694;2.0;17.0;15.0;SURPLUS;15.0;0.118
CNSO;9080-DI-0372021;3.0;18.0;15.0;SURPLUS;15.0;0.167
CHG;5998-14-4852175;17.0;2.0;-15.0;MANQUE;15.0;8.496
PAU;7025-01-6963056;19.0;4.0;-15.0;MANQUE;15.0;4.749
CHG;5998-14-4852178;17.0;2.0;-15.0;MANQUE;15.0;8.496
CGC;5998-20-0085539;16.0;1.0;-15.0;MANQUE;15.0;15.984
BST;7050-14-5464042;17.0;2.0;-15.0;MANQUE;15.0;8.496
CNSO;7021-01-5844460;11.0;26.0;15.0;SURPLUS;15.0;0.423
CNSO;7025-01-5868738;6.0;21.0;15.0;SURPLUS;15.0;0.286
ANTACL;5895-01-6038918;17.0;2.0;-15.0;MANQUE;15.0;8.496
PAU;5998-14-5649253;16.0;1.0;-15.0;MANQUE;15.0;15.984
CNSO;5998-14-5890370;3.0;18.0;15.0;SURPLUS;15.0;0.167
CNSO;5820-01-6785684;4.0;19.0;15.0;SURPLUS;15.0;0.211
BST;6130-14-5976924;18.0;3.0;-15.0;MANQUE;15.0;5.998
CNSO;7025-01-6113327;7.0;22.0;15.0;SURPLUS;15.0;0.318
BST;7025-14-6031213;1.0;16.0;15.0;SURPLUS;15.0;0.062
CNSO;7025-01-5933588;17.0;32.0;15.0;SURPLUS;15.0;0.531
CNSO;7025-01-6611870;22.0;7.0;-15.0;MANQUE;15.0;3.142
CHG;7025-01-6571299;16.0;1.0;-15.0;MANQUE;15.0;15.984
PAU;7025-01-6409763;7.0;22.0;15.0;SURPLUS;15.0;0.318
MDM;5998-14-4823886;18.0;3.0;-15.0;MANQUE;15.0;5.998
BST;5820-22-6224794;20.0;5.0;-15.0;MANQUE;15.0;3.999
BST;5895-14-5795081;15.0;1.0;-14.0;MANQUE;14.0;14.985
CHG;7025-14-5812058;24.0;10.0;-14.0;MANQUE;14.0;2.4
BST;7025-01-6787839;15.0;1.0;-14.0;MANQUE;14.0;14.985
PAU;7490-01-6289942;17.0;3.0;-14.0;MANQUE;14.0;5.665
CNSO;6625-01-6829918;2.0;16.0;14.0;SURPLUS;14.0;0.125
MDM;7025-01-4976237;16.0;2.0;-14.0;MANQUE;14.0;7.996
CHG;7025-01-7016891;16.0;30.0;14.0;SURPLUS;14.0;0.533
CNSO;5998-14-4761675;5.0;19.0;14.0;SURPLUS;14.0;0.263
CHG;5998-14-5649220;15.0;1.0;-14.0;MANQUE;14.0;14.985
CNSO;7035-01-6773797;24.0;10.0;-14.0;MANQUE;14.0;2.4
PAU;5998-14-5649251;15.0;1.0;-14.0;MANQUE;14.0;14.985
BCE;5930-01-6692243;21.0;7.0;-14.0;MANQUE;14.0;3.0
BST;5835-12-4150504;21.0;7.0;-14.0;MANQUE;14.0;3.0
MRC;5895-20-0078044;16.0;2.0;-14.0;MANQUE;14.0;7.996
CGC;5975-14-6014460;16.0;2.0;-14.0;MANQUE;14.0;7.996
PAU;5998-14-5729634;17.0;3.0;-14.0;MANQUE;14.0;5.665
BST;7010-26-3013874;17.0;3.0;-14.0;MANQUE;14.0;5.665
BST;5895-22-6161898;21.0;7.0;-14.0;MANQUE;14.0;3.0
CGC;5820-99-9251541;15.0;1.0;-14.0;MANQUE;14.0;14.985
CNSO;5805-01-5636332;1.0;15.0;14.0;SURPLUS;14.0;0.067
CNSO;7025-01-6471719;12.0;26.0;14.0;SURPLUS;14.0;0.462
CGC;5985-14-5511392;15.0;1.0;-14.0;MANQUE;14.0;14.985
BST;5836-01-7013353;16.0;2.0;-14.0;MANQUE;14.0;7.996
CNSO;5820-01-6504028;1.0;15.0;14.0;SURPLUS;14.0;0.067
CHG;5998-01-6590122;15.0;1.0;-14.0;MANQUE;14.0;14.985
PAU;5998-14-5649230;16.0;2.0;-14.0;MANQUE;14.0;7.996
CHG;5998-14-4852168;16.0;2.0;-14.0;MANQUE;14.0;7.996
MRC;5998-20-0085537;16.0;2.0;-14.0;MANQUE;14.0;7.996
CHG;5820-14-5697607;1.0;15.0;14.0;SURPLUS;14.0;0.067
MDM;7025-01-5997505;2.0;15.0;13.0;SURPLUS;13.0;0.133
CNSO;7025-01-6505078;1.0;14.0;13.0;SURPLUS;13.0;0.071
CNSO;6130-15-1804826;17.0;4.0;-13.0;MANQUE;13.0;4.249
CNSO;5895-01-6659304;15.0;2.0;-13.0;MANQUE;13.0;7.496
MDM;5975-14-5882845;15.0;2.0;-13.0;MANQUE;13.0;7.496
CNSO;7025-01-5812378;11.0;24.0;13.0;SURPLUS;13.0;0.458
MDM;5998-14-5115515;18.0;5.0;-13.0;MANQUE;13.0;3.599
MDM;5998-14-5649253;18.0;5.0;-13.0;MANQUE;13.0;3.599
CNSO;5895-01-6075842;25.0;12.0;-13.0;MANQUE;13.0;2.083
CNSO;6030-01-4861256;2.0;15.0;13.0;SURPLUS;13.0;0.133
CNSO;5998-14-5648977;3.0;16.0;13.0;SURPLUS;13.0;0.187
CHG;5895-01-6692703;17.0;4.0;-13.0;MANQUE;13.0;4.249
CGC;6130-14-5649300;16.0;3.0;-13.0;MANQUE;13.0;5.332
ANTACL;5975-01-6429653;14.0;1.0;-13.0;MANQUE;13.0;13.986
CGC;5998-14-5649434;16.0;3.0;-13.0;MANQUE;13.0;5.332
MRC;5895-14-5223318;14.0;1.0;-13.0;MANQUE;13.0;13.986
MRC;7035-01-6083487;16.0;3.0;-13.0;MANQUE;13.0;5.332
BST;7010-14-6035962;7.0;20.0;13.0;SURPLUS;13.0;0.35
PAU;7025-01-6720552;14.0;1.0;-13.0;MANQUE;13.0;13.986
BST;5895-01-6592841;14.0;1.0;-13.0;MANQUE;13.0;13.986
MRC;5998-14-5115539;14.0;1.0;-13.0;MANQUE;13.0;13.986
MRC;5998-14-4891305;15.0;2.0;-13.0;MANQUE;13.0;7.496
CHG;5895-14-6094639;1.0;14.0;13.0;SURPLUS;13.0;0.071
BST;5998-14-4747169;15.0;3.0;-12.0;MANQUE;12.0;4.998
BST;5895-14-5536338;16.0;4.0;-12.0;MANQUE;12.0;3.999
CHG;5985-14-4659246;2.0;14.0;12.0;SURPLUS;12.0;0.143
CNSO;6130-14-5849963;1.0;13.0;12.0;SURPLUS;12.0;0.077
BST;5895-01-6548913;4.0;16.0;12.0;SURPLUS;12.0;0.25
BST;5805-15-2220909;17.0;5.0;-12.0;MANQUE;12.0;3.399
BST;5805-01-6721744;20.0;8.0;-12.0;MANQUE;12.0;2.5
BST;5998-14-6035944;4.0;16.0;12.0;SURPLUS;12.0;0.25
CNSO;5805-01-6666436;15.0;3.0;-12.0;MANQUE;12.0;4.998
BLD;7025-14-5947383;4.0;16.0;12.0;SURPLUS;12.0;0.25
BST;6140-14-5654871;13.0;1.0;-12.0;MANQUE;12.0;12.987
CNSO;5998-14-5595820;1.0;13.0;12.0;SURPLUS;12.0;0.077
BST;7010-14-5874077;13.0;1.0;-12.0;MANQUE;12.0;12.987
BST;7021-01-6973011;16.0;4.0;-12.0;MANQUE;12.0;3.999
BST;7025-01-6036810;4.0;16.0;12.0;SURPLUS;12.0;0.25
BST;7025-14-6078971;14.0;2.0;-12.0;MANQUE;12.0;6.997
CNSO;5895-14-5854195;20.0;8.0;-12.0;MANQUE;12.0;2.5
CGC;7025-01-6997334;16.0;4.0;-12.0;MANQUE;12.0;3.999
CGC;5975-01-6429653;18.0;6.0;-12.0;MANQUE;12.0;3.0
BLD;9080-DI-0412021;14.0;2.0;-12.0;MANQUE;12.0;6.997
CHG;6130-14-5875950;18.0;6.0;-12.0;MANQUE;12.0;3.0
CNSO;7025-20-0094505;3.0;15.0;12.0;SURPLUS;12.0;0.2
CHG;7025-01-6336396;23.0;11.0;-12.0;MANQUE;12.0;2.091
BLD;6030-01-5849988;8.0;20.0;12.0;SURPLUS;12.0;0.4
CNSO;7025-01-7016891;1.0;13.0;12.0;SURPLUS;12.0;0.077
ANTACL;5895-01-6692703;14.0;2.0;-12.0;MANQUE;12.0;6.997
CNSO;7035-14-5536385;5.0;17.0;12.0;SURPLUS;12.0;0.294
CHG;7025-01-6145572;20.0;8.0;-12.0;MANQUE;12.0;2.5
ANTACL;7025-01-6336396;13.0;1.0;-12.0;MANQUE;12.0;12.987
CNSO;7025-14-5694773;18.0;6.0;-12.0;MANQUE;12.0;3.0
CNSO;7025-15-1413082;2.0;13.0;11.0;SURPLUS;11.0;0.154
CHG;7025-01-6162699;12.0;1.0;-11.0;MANQUE;11.0;11.988
CNSO;8145-14-5886584;1.0;12.0;11.0;SURPLUS;11.0;0.083
CHG;6130-14-5797008;19.0;8.0;-11.0;MANQUE;11.0;2.375
CHG;7025-01-6659124;16.0;5.0;-11.0;MANQUE;11.0;3.199
CNSO;7435-15-0102549;14.0;25.0;11.0;SURPLUS;11.0;0.56
MDM;5998-14-5216511;14.0;3.0;-11.0;MANQUE;11.0;4.665
BST;7025-01-6065502;29.0;18.0;-11.0;MANQUE;11.0;1.611
CHG;6130-14-5977740;2.0;13.0;11.0;SURPLUS;11.0;0.154
MRC;9010-DI-1012016;6.0;17.0;11.0;SURPLUS;11.0;0.353
MRC;7010-14-5636071;14.0;3.0;-11.0;MANQUE;11.0;4.665
CHG;5820-99-5013078;49.0;60.0;11.0;SURPLUS;11.0;0.817
ANTACL;5998-14-5648968;13.0;2.0;-11.0;MANQUE;11.0;6.497
MDM;5895-39-0013584;12.0;1.0;-11.0;MANQUE;11.0;11.988
MRC;5998-14-4535516;12.0;1.0;-11.0;MANQUE;11.0;11.988
CHG;7010-01-6902880;4.0;15.0;11.0;SURPLUS;11.0;0.267
CGC;7025-01-6691110;12.0;1.0;-11.0;MANQUE;11.0;11.988
CHG;7025-01-6409765;2.0;13.0;11.0;SURPLUS;11.0;0.154
CHG;5975-01-6429653;22.0;11.0;-11.0;MANQUE;11.0;2.0
CHG;6130-01-6429643;12.0;1.0;-11.0;MANQUE;11.0;11.988
CNSO;7025-14-5947596;12.0;1.0;-11.0;MANQUE;11.0;11.988
PAU;7025-01-7006887;13.0;2.0;-11.0;MANQUE;11.0;6.497
PAU;5810-14-5860296;12.0;1.0;-11.0;MANQUE;11.0;11.988
CNSO;6140-14-5937794;1.0;12.0;11.0;SURPLUS;11.0;0.083
BST;7025-01-6680574;12.0;2.0;-10.0;MANQUE;10.0;5.997
CHG;5895-01-6589391;31.0;21.0;-10.0;MANQUE;10.0;1.476
CNSO;5836-37-5349926;3.0;13.0;10.0;SURPLUS;10.0;0.231
BST;5895-01-5716701;11.0;1.0;-10.0;MANQUE;10.0;10.989
CGC;5810-14-5763435;11.0;1.0;-10.0;MANQUE;10.0;10.989
MRC;5998-20-0085538;11.0;1.0;-10.0;MANQUE;10.0;10.989
ANTACL;7025-01-6844735;1.0;11.0;10.0;SURPLUS;10.0;0.091
BST;5895-37-5195061;14.0;4.0;-10.0;MANQUE;10.0;3.499
MRC;5998-14-4978786;12.0;2.0;-10.0;MANQUE;10.0;5.997
PAU;5895-01-5598030;12.0;2.0;-10.0;MANQUE;10.0;5.997
MRC;5998-14-5115538;14.0;4.0;-10.0;MANQUE;10.0;3.499
MDM;7025-01-6823189;11.0;1.0;-10.0;MANQUE;10.0;10.989
MDM;5998-14-5149570;11.0;1.0;-10.0;MANQUE;10.0;10.989
MRC;5810-14-5860296;15.0;5.0;-10.0;MANQUE;10.0;2.999
CNSO;7010-14-5961808;2.0;12.0;10.0;SURPLUS;10.0;0.167
BST;7025-66-1638304;14.0;4.0;-10.0;MANQUE;10.0;3.499
MDM;5996-14-5886251;11.0;1.0;-10.0;MANQUE;10.0;10.989
CNSO;5895-20-0078044;14.0;4.0;-10.0;MANQUE;10.0;3.499
CHG;5805-14-5395177;11.0;1.0;-10.0;MANQUE;10.0;10.989
BST;5820-17-1247012;12.0;2.0;-10.0;MANQUE;10.0;5.997
MDM;7025-15-0162514;2.0;12.0;10.0;SURPLUS;10.0;0.167
BST;5998-01-5905251;2.0;12.0;10.0;SURPLUS;10.0;0.167
ANTACL;5810-14-5860296;14.0;4.0;-10.0;MANQUE;10.0;3.499
CGC;5998-14-5217075;11.0;1.0;-10.0;MANQUE;10.0;10.989
BST;5998-14-5803460;17.0;7.0;-10.0;MANQUE;10.0;2.428
CNSO;5998-14-5812746;16.0;6.0;-10.0;MANQUE;10.0;2.666
BST;5895-14-5874648;1.0;11.0;10.0;SURPLUS;10.0;0.091
MRC;5998-14-4761905;12.0;2.0;-10.0;MANQUE;10.0;5.997
BST;6030-14-5711031;12.0;2.0;-10.0;MANQUE;10.0;5.997
BST;6130-01-6590426;14.0;4.0;-10.0;MANQUE;10.0;3.499
CNSO;5998-14-5649248;1.0;11.0;10.0;SURPLUS;10.0;0.091
CGC;5998-14-5115539;11.0;1.0;-10.0;MANQUE;10.0;10.989
BST;5810-14-5949212;16.0;6.0;-10.0;MANQUE;10.0;2.666
PAU;5975-14-6014460;12.0;2.0;-10.0;MANQUE;10.0;5.997
BST;5895-14-5767842;11.0;1.0;-10.0;MANQUE;10.0;10.989
CNSO;DIRI-14-0000189;11.0;1.0;-10.0;MANQUE;10.0;10.989
MDM;5895-25-1626130;11.0;1.0;-10.0;MANQUE;10.0;10.989
ANTACL;5895-01-6659304;10.0;1.0;-9.0;MANQUE;9.0;9.99
BST;7035-14-5914982;14.0;5.0;-9.0;MANQUE;9.0;2.799
BST;5820-14-5892201;14.0;5.0;-9.0;MANQUE;9.0;2.799
BST;5820-14-5960623;7.0;16.0;9.0;SURPLUS;9.0;0.437
CNSO;5998-14-4761676;4.0;13.0;9.0;SURPLUS;9.0;0.308
MRC;5998-14-5149583;10.0;1.0;-9.0;MANQUE;9.0;9.99
BST;7010-14-5717703;10.0;1.0;-9.0;MANQUE;9.0;9.99
CNSO;7025-14-5947967;18.0;27.0;9.0;SURPLUS;9.0;0.667
CNSO;5998-20-0085538;12.0;3.0;-9.0;MANQUE;9.0;3.999
CNSO;7025-14-6034814;16.0;7.0;-9.0;MANQUE;9.0;2.285
CNSO;DIRI-14-0002850;5.0;14.0;9.0;SURPLUS;9.0;0.357
CNSO;5998-14-5649245;4.0;13.0;9.0;SURPLUS;9.0;0.308
BST;5895-14-5827556;10.0;1.0;-9.0;MANQUE;9.0;9.99
CNSO;5998-14-5648947;8.0;17.0;9.0;SURPLUS;9.0;0.471
CNSO;7025-15-0168229;3.0;12.0;9.0;SURPLUS;9.0;0.25
