magasin;nomenclature;quantite_exploitation;quantite_stock;deficit;type_deficit;deficit_abs;ratio_exp_stock
CNSO;5999-14-5416056;1.0;121.0;120.0;SURPLUS;120.0;0.008
CNSO;7025-15-1577947;9.0;125.0;116.0;SURPLUS;116.0;0.072
BST;5998-14-5709364;115.0;1.0;-114.0;MANQUE;114.0;114.885
BST;5820-14-6011983;44.0;155.0;111.0;SURPLUS;111.0;0.284
CHG;5820-99-9251541;112.0;1.0;-111.0;MANQUE;111.0;111.888
PAU;5805-14-5407613;111.0;1.0;-110.0;MANQUE;110.0;110.889
MDM;5998-14-5149581;114.0;4.0;-110.0;MANQUE;110.0;28.493
PAU;7025-15-0162514;112.0;4.0;-108.0;MANQUE;108.0;27.993
CNSO;7025-14-5947628;6.0;113.0;107.0;SURPLUS;107.0;0.053
BST;7025-01-7006887;124.0;17.0;-107.0;MANQUE;107.0;7.294
CNSO;5998-14-5164413;2.0;106.0;104.0;SURPLUS;104.0;0.019
BST;5820-99-8564345;128.0;24.0;-104.0;MANQUE;104.0;5.333
CNSO;5895-14-5501846;1.0;105.0;104.0;SURPLUS;104.0;0.01
BST;5895-01-6548830;113.0;11.0;-102.0;MANQUE;102.0;10.272
CHG;5805-14-5395175;104.0;2.0;-102.0;MANQUE;102.0;51.974
BST;7025-14-5953534;102.0;1.0;-101.0;MANQUE;101.0;101.898
CNSO;5895-14-5603031;2.0;103.0;101.0;SURPLUS;101.0;0.019
CNSO;5805-14-5407612;4.0;104.0;100.0;SURPLUS;100.0;0.038
MRC;5998-14-4536854;102.0;2.0;-100.0;MANQUE;100.0;50.975
CNSO;5998-14-4491646;6.0;106.0;100.0;SURPLUS;100.0;0.057
MRC;5998-14-4636517;99.0;3.0;-96.0;MANQUE;96.0;32.989
BST;5895-14-5951970;291.0;195.0;-96.0;MANQUE;96.0;1.492
CNSO;5805-01-6442680;32.0;128.0;96.0;SURPLUS;96.0;0.25
CNSO;5998-14-5649402;2.0;97.0;95.0;SURPLUS;95.0;0.021
CNSO;5895-14-5877858;5.0;100.0;95.0;SURPLUS;95.0;0.05
CNSO;5805-14-5649505;1.0;95.0;94.0;SURPLUS;94.0;0.011
BCE;5805-14-5395175;94.0;2.0;-92.0;MANQUE;92.0;46.977
CNSO;5998-14-4491642;8.0;100.0;92.0;SURPLUS;92.0;0.08
MRC;7025-15-0162514;102.0;10.0;-92.0;MANQUE;92.0;10.199
CHG;5895-14-5951970;10.0;100.0;90.0;SURPLUS;90.0;0.1
CNSO;5998-14-5649251;16.0;105.0;89.0;SURPLUS;89.0;0.152
MDM;5895-14-5781725;96.0;8.0;-88.0;MANQUE;88.0;11.999
CNSO;7025-15-0010786;12.0;100.0;88.0;SURPLUS;88.0;0.12
CNSO;5998-14-4491644;4.0;91.0;87.0;SURPLUS;87.0;0.044
BST;5805-14-5649505;87.0;1.0;-86.0;MANQUE;86.0;86.913
MRC;7025-01-6295560;87.0;2.0;-85.0;MANQUE;85.0;43.478
CGC;5895-01-6590453;87.0;3.0;-84.0;MANQUE;84.0;28.99
CNSO;7025-01-6145572;6.0;89.0;83.0;SURPLUS;83.0;0.067
CNSO;5805-14-5395175;2.0;84.0;82.0;SURPLUS;82.0;0.024
CNSO;5998-01-5587804;4.0;85.0;81.0;SURPLUS;81.0;0.047
CNSO;7025-01-7068901;14.0;95.0;81.0;SURPLUS;81.0;0.147
BST;7035-14-5885006;93.0;13.0;-80.0;MANQUE;80.0;7.153
BST;5895-14-5713842;90.0;10.0;-80.0;MANQUE;80.0;8.999
CNSO;5998-14-4252193;4.0;83.0;79.0;SURPLUS;79.0;0.048
PAU;7025-01-6471720;79.0;1.0;-78.0;MANQUE;78.0;78.921
BST;6130-14-5875950;90.0;12.0;-78.0;MANQUE;78.0;7.499
CGC;5998-14-5649230;81.0;4.0;-77.0;MANQUE;77.0;20.245
CNSO;5895-01-4758630;11.0;88.0;77.0;SURPLUS;77.0;0.125
BST;5810-14-5860296;103.0;26.0;-77.0;MANQUE;77.0;3.961
CNSO;5998-14-4491643;2.0;78.0;76.0;SURPLUS;76.0;0.026
CNSO;7025-01-5008812;1.0;77.0;76.0;SURPLUS;76.0;0.013
CNSO;5820-14-5697607;3.0;78.0;75.0;SURPLUS;75.0;0.038
CNSO;5810-14-5860301;8.0;82.0;74.0;SURPLUS;74.0;0.098
CNSO;7025-14-5534827;16.0;90.0;74.0;SURPLUS;74.0;0.178
BST;5998-14-5649230;75.0;1.0;-74.0;MANQUE;74.0;74.925
BST;5820-14-5875877;31.0;104.0;73.0;SURPLUS;73.0;0.298
CHG;7025-01-6471719;97.0;26.0;-71.0;MANQUE;71.0;3.731
BST;7050-20-0042340;86.0;15.0;-71.0;MANQUE;71.0;5.733
MRC;7025-01-5455184;73.0;3.0;-70.0;MANQUE;70.0;24.325
MDM;5998-14-4746028;73.0;3.0;-70.0;MANQUE;70.0;24.325
BST;5820-99-9596146;164.0;94.0;-70.0;MANQUE;70.0;1.745
MRC;5805-14-5649505;71.0;2.0;-69.0;MANQUE;69.0;35.482
BST;7050-14-5714044;75.0;6.0;-69.0;MANQUE;69.0;12.498
CNSO;7035-14-5860693;1.0;70.0;69.0;SURPLUS;69.0;0.014
CNSO;5895-01-6038918;2.0;71.0;69.0;SURPLUS;69.0;0.028
PAU;5895-01-6312265;88.0;20.0;-68.0;MANQUE;68.0;4.4
CNSO;5998-14-4491651;4.0;72.0;68.0;SURPLUS;68.0;0.056
BCE;6130-14-5648974;69.0;1.0;-68.0;MANQUE;68.0;68.931
MDM;5998-14-5709364;69.0;2.0;-67.0;MANQUE;67.0;34.483
CNSO;5998-14-6021506;4.0;71.0;67.0;SURPLUS;67.0;0.056
BST;5975-01-6429653;82.0;15.0;-67.0;MANQUE;67.0;5.466
BST;7025-14-5714152;72.0;7.0;-65.0;MANQUE;65.0;10.284
MDM;5998-14-5115509;70.0;5.0;-65.0;MANQUE;65.0;13.997
CNSO;7025-14-5534842;6.0;71.0;65.0;SURPLUS;65.0;0.085
CGC;5998-14-5216512;66.0;1.0;-65.0;MANQUE;65.0;65.934
CNSO;6030-01-4858177;10.0;75.0;65.0;SURPLUS;65.0;0.133
BST;5895-01-6589391;85.0;21.0;-64.0;MANQUE;64.0;4.047
PAU;6030-01-5849988;65.0;1.0;-64.0;MANQUE;64.0;64.935
CNSO;5810-14-5860296;64.0;128.0;64.0;SURPLUS;64.0;0.5
