nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
5930-01-6107547;1;136.0;136.0;136.0;136.0;9.0;9.0;145.0;145.0;1;;1.0;;136.0
5820-99-9251541;4;-136.0;-34.0;-111.0;-5.0;141.0;35.25;5.0;1.25;4;4.0;;136.0;
5820-14-6011983;2;130.0;65.0;19.0;111.0;52.0;26.0;182.0;91.0;2;;2.0;;130.0
5895-14-5892200;2;-127.0;-63.5;-168.0;41.0;259.0;129.5;132.0;66.0;2;1.0;1.0;168.0;41.0
5961-01-6107733;2;126.0;63.0;-1.0;127.0;3.0;1.5;129.0;64.5;2;1.0;1.0;1.0;127.0
5895-01-6548830;4;-125.0;-31.25;-102.0;-1.0;143.0;35.75;18.0;4.5;4;4.0;;125.0;
5965-14-5596464;3;124.0;41.33;-291.0;416.0;393.0;131.0;517.0;172.33;3;2.0;1.0;292.0;416.0
5820-14-5568480;1;123.0;123.0;123.0;123.0;5.0;5.0;128.0;128.0;1;;1.0;;123.0
5998-14-5223319;1;122.0;122.0;122.0;122.0;2.0;2.0;124.0;124.0;1;;1.0;;122.0
5999-14-5416056;1;120.0;120.0;120.0;120.0;1.0;1.0;121.0;121.0;1;;1.0;;120.0
7025-14-5812058;6;-120.0;-20.0;-58.0;26.0;176.0;29.33;56.0;9.33;6;5.0;1.0;146.0;26.0
7025-15-1577947;1;116.0;116.0;116.0;116.0;9.0;9.0;125.0;125.0;1;;1.0;;116.0
5805-14-5395175;3;-112.0;-37.33;-102.0;82.0;200.0;66.67;88.0;29.33;3;2.0;1.0;194.0;82.0
7025-01-6519677;6;-110.0;-18.33;-44.0;-3.0;120.0;20.0;10.0;1.67;6;6.0;;110.0;
5805-14-5649505;4;-109.0;-27.25;-86.0;94.0;209.0;52.25;100.0;25.0;4;3.0;1.0;203.0;94.0
7025-15-0137638;2;-108.0;-54.0;-57.0;-51.0;127.0;63.5;19.0;9.5;2;2.0;;108.0;
5895-14-5501846;2;107.0;53.5;3.0;104.0;2.0;1.0;109.0;54.5;2;;2.0;;107.0
5998-14-5164413;1;104.0;104.0;104.0;104.0;2.0;2.0;106.0;106.0;1;;1.0;;104.0
5820-99-8564345;1;-104.0;-104.0;-104.0;-104.0;128.0;128.0;24.0;24.0;1;1.0;;104.0;
7025-14-5953534;1;-101.0;-101.0;-101.0;-101.0;102.0;102.0;1.0;1.0;1;1.0;;101.0;
5998-14-4536854;1;-100.0;-100.0;-100.0;-100.0;102.0;102.0;2.0;2.0;1;1.0;;100.0;
5998-14-5649253;8;-100.0;-12.5;-45.0;53.0;179.0;22.38;79.0;9.88;8;6.0;2.0;154.0;54.0
5805-14-5407612;1;100.0;100.0;100.0;100.0;4.0;4.0;104.0;104.0;1;;1.0;;100.0
7025-01-6295560;3;-99.0;-33.0;-85.0;-5.0;113.0;37.67;14.0;4.67;3;3.0;;99.0;
5998-14-4636517;1;-96.0;-96.0;-96.0;-96.0;99.0;99.0;3.0;3.0;1;1.0;;96.0;
5895-14-5877858;1;95.0;95.0;95.0;95.0;5.0;5.0;100.0;100.0;1;;1.0;;95.0
5998-14-4491646;2;94.0;47.0;-6.0;100.0;15.0;7.5;109.0;54.5;2;1.0;1.0;6.0;100.0
6130-14-5875950;3;-93.0;-31.0;-78.0;-3.0;121.0;40.33;28.0;9.33;3;3.0;;93.0;
5998-14-5812746;4;-90.0;-22.5;-59.0;-3.0;100.0;25.0;10.0;2.5;4;4.0;;90.0;
9010-DI-0012022;5;89.0;17.8;-17.0;54.0;73.0;14.6;162.0;32.4;5;1.0;3.0;17.0;106.0
5998-20-0085537;5;-89.0;-17.8;-51.0;-1.0;100.0;20.0;11.0;2.2;5;5.0;;89.0;
5895-14-5781725;1;-88.0;-88.0;-88.0;-88.0;96.0;96.0;8.0;8.0;1;1.0;;88.0;
5998-14-4491644;1;87.0;87.0;87.0;87.0;4.0;4.0;91.0;91.0;1;;1.0;;87.0
7025-01-6336396;6;-85.0;-14.17;-29.0;-2.0;110.0;18.33;25.0;4.17;6;6.0;;85.0;
5820-14-5697607;4;83.0;20.75;-3.0;75.0;100.0;25.0;183.0;45.75;4;2.0;2.0;6.0;89.0
5998-14-4491642;2;83.0;41.5;-9.0;92.0;18.0;9.0;101.0;50.5;2;1.0;1.0;9.0;92.0
