magasin,nomenclature,quantite_exploitation,quantite_stock,deficit
CHG,5895-01-5354405,7.0,1.0,-6.0
CHG,5895-01-6469018,8.0,7.0,-1.0
CHG,5895-01-6548830,22.0,2.0,-20.0
CHG,5895-01-6548907,29.0,7.0,-22.0
CHG,5895-01-6589391,31.0,21.0,-10.0
CHG,5895-01-6592493,4.0,1.0,-3.0
CHG,5895-01-6658656,10.0,1.0,-9.0
CHG,5895-01-6692703,17.0,4.0,-13.0
CHG,5895-14-5713812,8.0,2.0,-6.0
CHG,5895-14-5730049,11.0,4.0,-7.0
CHG,5895-14-5767842,15.0,8.0,-7.0
CHG,5895-14-5792144,7.0,6.0,-1.0
CHG,5895-14-5850450,2.0,1.0,-1.0
CHG,5895-14-5854233,9.0,1.0,-8.0
CHG,5895-14-5892200,217.0,49.0,-168.0
CHG,5895-14-5906383,2.0,1.0,-1.0
CHG,5895-15-2168665,19.0,3.0,-16.0
CHG,5895-22-6161898,3.0,2.0,-1.0
CHG,5895-22-6318527,2.0,1.0,-1.0
CHG,5895-37-5195061,3.0,1.0,-2.0
CHG,5915-14-4852179,34.0,5.0,-29.0
CHG,5915-14-4852181,43.0,4.0,-39.0
CHG,5930-15-0180733,3.0,1.0,-2.0
CHG,5965-14-5596464,2.0,1.0,-1.0
CHG,5975-01-6429653,22.0,11.0,-11.0
CHG,5975-01-6429655,4.0,1.0,-3.0
CHG,5985-14-5944610,6.0,1.0,-5.0
CHG,5998-01-6155740,2.0,1.0,-1.0
CHG,5998-01-6590119,2.0,1.0,-1.0
CHG,5998-01-6590122,15.0,1.0,-14.0
CHG,5998-14-4852163,36.0,4.0,-32.0
CHG,5998-14-4852168,16.0,2.0,-14.0
CHG,5998-14-4852169,37.0,4.0,-33.0
CHG,5998-14-4852175,17.0,2.0,-15.0
CHG,5998-14-4852176,24.0,2.0,-22.0
CHG,5998-14-4852177,36.0,4.0,-32.0
CHG,5998-14-4852178,17.0,2.0,-15.0
CHG,5998-14-4852180,23.0,2.0,-21.0
CHG,5998-14-4855681,21.0,2.0,-19.0
CHG,5998-14-5648947,3.0,1.0,-2.0
CHG,5998-14-5648977,9.0,1.0,-8.0
